! nh - concentration of H nuclei, [cm-3]
! aic- abundance of molecules adsorbed on grains, mol/H
! ae - abundance of electrons, e/H
! aio- abundance of ions, ions/H
! vg - velocity gradient of neutral component, [cm/s/cm]
! p1 - parameter of H2 formation on grains (reaction *H+*H), rate = a*n_H_tot*n_H, a [cm3 s-1]
! p2 - is equal to add_Ne/Ne, add_Ne is the term added to electron production rate Ne to compensate 
!	the velocity difference between ions and charge grains,
! p3 - total electric charge of grains, [cm-3]
!1             2             3             4             5             6             7             8             9             10            11            12            13            14            15            
!z(cm)            time(yr)      T_n           T_i           T_e           v_n           v_i           nh            aic           ae            aio           vg            p1            p2            p3            
6.3344490938e+13  1.33821e+00   1.70051e+01   1.84129e+01   1.83324e+01   1.50000e+06   1.49985e+06   2.00000e+04   3.26085e-04   8.97136e-08   9.21119e-08   -3.28994e-16  2.44329e-17   1.15957e-06   -1.90389e-07  
2.0071531102e+14  4.24028e+00   1.70051e+01   1.84129e+01   1.83325e+01   1.50000e+06   1.49985e+06   2.00000e+04   3.26086e-04   8.97137e-08   9.21120e-08   -3.32414e-16  2.44330e-17   1.07678e-06   -1.90389e-07  
5.1179534833e+14  1.08121e+01   1.70051e+01   1.84129e+01   1.83325e+01   1.50000e+06   1.49984e+06   2.00000e+04   3.26087e-04   8.97138e-08   9.21123e-08   -3.45431e-16  2.44331e-17   9.58987e-07   -1.90390e-07  
1.3075097508e+15  2.76222e+01   1.70051e+01   1.84130e+01   1.83325e+01   1.50000e+06   1.49982e+06   2.00000e+04   3.26092e-04   8.97141e-08   9.21128e-08   -3.75708e-16  2.44333e-17   8.55242e-07   -1.90392e-07  
2.9156301986e+15  6.15952e+01   1.70052e+01   1.84131e+01   1.83327e+01   1.50000e+06   1.49978e+06   2.00000e+04   3.26102e-04   8.97148e-08   9.21139e-08   -4.49264e-16  2.44339e-17   8.49108e-07   -1.90396e-07  
6.8892897007e+15  1.45542e+02   1.70053e+01   1.84141e+01   1.83337e+01   1.50000e+06   1.49961e+06   2.00001e+04   3.26135e-04   8.97177e-08   9.21178e-08   -6.82550e-16  2.44362e-17   9.84327e-07   -1.90412e-07  
1.5428014000e+16  3.25931e+02   1.70057e+01   1.84259e+01   1.83454e+01   1.49998e+06   1.49876e+06   2.00003e+04   3.26290e-04   8.97460e-08   9.21478e-08   -1.72627e-15  2.44488e-17   2.58838e-06   -1.90511e-07  
3.2626924025e+16  6.89302e+02   1.70323e+01   1.97652e+01   1.96693e+01   1.49978e+06   1.48732e+06   2.00030e+04   3.28245e-04   9.17919e-08   9.41112e-08   -1.18837e-14  2.47909e-17   1.87114e-07   -1.93082e-07  
