! nh - concentration of H nuclei, [cm-3]
! aic- abundance of molecules adsorbed on grains, mol/H
! ae - abundance of electrons, e/H
! aio- abundance of ions, ions/H
! vg - velocity gradient of neutral component, [cm/s/cm]
! p1 - parameter of H2 formation on grains (reaction *H+*H), rate = a*n_H_tot*n_H, a [cm3 s-1]
! p2 - is equal to add_Ne/Ne, add_Ne is the term added to electron production rate Ne to compensate 
!	the velocity difference between ions and charge grains,
! p3 - total electric charge of grains, [cm-3]
!1             2             3             4             5             6             7             8             9             10            11            12            13            14            15            
!z(cm)            time(yr)      T_n           T_i           T_e           v_n           v_i           nh            aic           ae            aio           vg            p1            p2            p3            
3.8131692102e+13  6.04173e-01   1.70051e+01   1.84130e+01   1.83325e+01   2.00000e+06   1.99980e+06   2.00000e+04   3.26085e-04   8.97139e-08   9.21121e-08   -3.28597e-16  2.44329e-17   1.04651e-05   -1.90222e-07  
1.1508504863e+14  1.82345e+00   1.70051e+01   1.84130e+01   1.83326e+01   2.00000e+06   1.99980e+06   2.00000e+04   3.26085e-04   8.97140e-08   9.21123e-08   -3.31113e-16  2.44330e-17   2.02301e-05   -1.90222e-07  
2.7083117805e+14  4.29115e+00   1.70051e+01   1.84130e+01   1.83326e+01   2.00000e+06   1.99979e+06   2.00000e+04   3.26086e-04   8.97142e-08   9.21126e-08   -3.37581e-16  2.44330e-17   1.35016e-05   -1.90222e-07  
6.2264058725e+14  9.86535e+00   1.70051e+01   1.84131e+01   1.83326e+01   2.00000e+06   1.99978e+06   2.00000e+04   3.26088e-04   8.97148e-08   9.21132e-08   -3.58073e-16  2.44332e-17   3.39599e-06   -1.90223e-07  
1.4152481868e+15  2.24237e+01   1.70051e+01   1.84132e+01   1.83328e+01   2.00000e+06   1.99974e+06   2.00000e+04   3.26094e-04   8.97159e-08   9.21145e-08   -4.01735e-16  2.44335e-17   1.81579e-06   -1.90226e-07  
3.0231244039e+15  4.78995e+01   1.70051e+01   1.84137e+01   1.83333e+01   2.00000e+06   1.99965e+06   2.00000e+04   3.26107e-04   8.97182e-08   9.21171e-08   -5.11456e-16  2.44345e-17   1.39945e-06   -1.90234e-07  
6.5636301628e+15  1.03997e+02   1.70052e+01   1.84165e+01   1.83361e+01   2.00000e+06   1.99933e+06   2.00000e+04   3.26151e-04   8.97264e-08   9.21260e-08   -8.56741e-16  2.44379e-17   1.74347e-06   -1.90261e-07  
1.4126699280e+16  2.23830e+02   1.70060e+01   1.84727e+01   1.83915e+01   1.99998e+06   1.99735e+06   2.00002e+04   3.26410e-04   8.98208e-08   9.22195e-08   -2.57499e-15  2.44646e-17   1.30356e-06   -1.90470e-07  
2.2909411646e+16  3.62992e+02   1.70213e+01   1.98781e+01   1.97771e+01   1.99987e+06   1.98687e+06   2.00013e+04   3.27752e-04   9.14849e-08   9.38136e-08   -1.19484e-14  2.47680e-17   1.73210e-07   -1.92606e-07  
