! p1 - total abundance of grain mantle molecules, [molecules/H]
! p2 - abundance of hydrocarbon molecules in ice mantles, CnHm, n >=2,  [molecules/H]
! p3 - parameter of H2 formation on grains (reaction *H+*H), rate = a*n_H_tot*n_H, a [cm3 s-1]
! p4 - electron concentration, [cm-3]
! p5 - ion concentration (without PAHs and small grains), [cm-3]
! p6 - total electric charge of grains, [cm-3]
!1             2             3             4             5             6             7             8             9             10            
!time(yrs)     T_n           T_i           T_e           p1            p2            p3            p4            p5            p6            
1.0000000e+00  1.00009e+01   1.00040e+01   1.00040e+01   4.90751e-10   1.51497e-16   1.29890e-22   1.39825e+00   1.39825e+00   -1.42949e-08  
1.0746078e+00  1.00010e+01   1.00041e+01   1.00041e+01   5.27355e-10   1.87477e-16   2.83238e-22   1.39804e+00   1.39804e+00   -1.42949e-08  
1.1547820e+00  1.00011e+01   1.00043e+01   1.00043e+01   5.66690e-10   2.31672e-16   2.22062e-22   1.39782e+00   1.39782e+00   -1.42950e-08  
1.2409378e+00  1.00012e+01   1.00045e+01   1.00045e+01   6.08961e-10   2.85854e-16   -3.57757e-22  1.39758e+00   1.39758e+00   -1.42950e-08  
1.3335214e+00  1.00013e+01   1.00047e+01   1.00047e+01   6.54387e-10   3.52150e-16   1.14632e-22   1.39732e+00   1.39732e+00   -1.42950e-08  
1.4330126e+00  1.00014e+01   1.00049e+01   1.00049e+01   7.03202e-10   4.33050e-16   2.79431e-22   1.39705e+00   1.39705e+00   -1.42950e-08  
1.5399265e+00  1.00015e+01   1.00051e+01   1.00051e+01   7.55660e-10   5.31533e-16   7.90694e-22   1.39675e+00   1.39675e+00   -1.42950e-08  
1.6548171e+00  1.00016e+01   1.00053e+01   1.00053e+01   8.12033e-10   6.51087e-16   5.52384e-22   1.39643e+00   1.39643e+00   -1.42950e-08  
1.7782794e+00  1.00017e+01   1.00056e+01   1.00056e+01   8.72613e-10   7.95760e-16   -2.22275e-21  1.39609e+00   1.39609e+00   -1.42951e-08  
1.9109530e+00  1.00019e+01   1.00059e+01   1.00059e+01   9.37715e-10   9.70295e-16   3.78893e-21   1.39572e+00   1.39572e+00   -1.42951e-08  
2.0535250e+00  1.00021e+01   1.00062e+01   1.00062e+01   1.00767e-09   1.18002e-15   5.05242e-22   1.39532e+00   1.39532e+00   -1.42951e-08  
2.2067341e+00  1.00022e+01   1.00065e+01   1.00065e+01   1.08286e-09   1.43114e-15   6.27824e-22   1.39489e+00   1.39489e+00   -1.42951e-08  
2.3713737e+00  1.00024e+01   1.00069e+01   1.00069e+01   1.16365e-09   1.73058e-15   7.03351e-22   1.39443e+00   1.39443e+00   -1.42951e-08  
2.5482967e+00  1.00027e+01   1.00073e+01   1.00073e+01   1.25047e-09   2.08618e-15   8.86197e-22   1.39394e+00   1.39394e+00   -1.42952e-08  
2.7384196e+00  1.00029e+01   1.00077e+01   1.00077e+01   1.34378e-09   2.50672e-15   8.32671e-22   1.39341e+00   1.39341e+00   -1.42952e-08  
2.9427272e+00  1.00032e+01   1.00082e+01   1.00082e+01   1.44405e-09   3.00206e-15   6.49046e-22   1.39283e+00   1.39283e+00   -1.42952e-08  
3.1622777e+00  1.00034e+01   1.00087e+01   1.00087e+01   1.55180e-09   3.58332e-15   1.00786e-21   1.39222e+00   1.39222e+00   -1.42953e-08  
3.3982083e+00  1.00038e+01   1.00092e+01   1.00092e+01   1.66760e-09   4.26329e-15   9.61673e-22   1.39155e+00   1.39155e+00   -1.42953e-08  
3.6517413e+00  1.00041e+01   1.00098e+01   1.00098e+01   1.79204e-09   5.05665e-15   1.00814e-21   1.39084e+00   1.39084e+00   -1.42953e-08  
3.9241898e+00  1.00045e+01   1.00104e+01   1.00104e+01   1.92577e-09   5.98081e-15   1.00359e-21   1.39007e+00   1.39007e+00   -1.42954e-08  
4.2169650e+00  1.00049e+01   1.00111e+01   1.00111e+01   2.06949e-09   7.05678e-15   4.21795e-22   1.38924e+00   1.38924e+00   -1.42954e-08  
4.5315836e+00  1.00054e+01   1.00118e+01   1.00118e+01   2.22394e-09   8.31045e-15   1.32412e-21   1.38835e+00   1.38835e+00   -1.42955e-08  
4.8696753e+00  1.00059e+01   1.00126e+01   1.00126e+01   2.38992e-09   9.77390e-15   1.39114e-21   1.38739e+00   1.38739e+00   -1.42955e-08  
5.2329911e+00  1.00065e+01   1.00135e+01   1.00135e+01   2.56830e-09   1.14869e-14   1.43655e-21   1.38636e+00   1.38636e+00   -1.42956e-08  
5.6234133e+00  1.00071e+01   1.00144e+01   1.00144e+01   2.75999e-09   1.34989e-14   1.52741e-21   1.38525e+00   1.38525e+00   -1.42957e-08  
6.0429639e+00  1.00078e+01   1.00154e+01   1.00154e+01   2.96600e-09   1.58708e-14   1.62332e-21   1.38406e+00   1.38406e+00   -1.42957e-08  
6.4938163e+00  1.00086e+01   1.00165e+01   1.00165e+01   3.18740e-09   1.86770e-14   1.78905e-21   1.38277e+00   1.38277e+00   -1.42958e-08  
6.9783058e+00  1.00095e+01   1.00177e+01   1.00177e+01   3.42533e-09   2.20071e-14   1.86504e-21   1.38139e+00   1.38139e+00   -1.42959e-08  
7.4989421e+00  1.00104e+01   1.00190e+01   1.00190e+01   3.68104e-09   2.59687e-14   2.15893e-21   1.37990e+00   1.37990e+00   -1.42960e-08  
8.0584219e+00  1.00115e+01   1.00204e+01   1.00204e+01   3.95584e-09   3.06903e-14   2.12171e-21   1.37830e+00   1.37830e+00   -1.42961e-08  
8.6596432e+00  1.00126e+01   1.00219e+01   1.00219e+01   4.25116e-09   3.63244e-14   2.27586e-21   1.37658e+00   1.37658e+00   -1.42962e-08  
9.3057204e+00  1.00139e+01   1.00235e+01   1.00235e+01   4.56853e-09   4.30514e-14   2.44928e-21   1.37472e+00   1.37472e+00   -1.42963e-08  
1.0000000e+01  1.00153e+01   1.00253e+01   1.00253e+01   4.90960e-09   5.10850e-14   2.64600e-21   1.37273e+00   1.37273e+00   -1.42964e-08  
1.0746078e+01  1.00169e+01   1.00272e+01   1.00272e+01   5.27612e-09   6.06771e-14   2.87444e-21   1.37059e+00   1.37059e+00   -1.42966e-08  
1.1547820e+01  1.00186e+01   1.00293e+01   1.00293e+01   5.66999e-09   7.21237e-14   3.16630e-21   1.36828e+00   1.36828e+00   -1.42967e-08  
1.2409378e+01  1.00205e+01   1.00316e+01   1.00316e+01   6.09323e-09   8.57722e-14   3.46604e-21   1.36580e+00   1.36580e+00   -1.42969e-08  
1.3335214e+01  1.00226e+01   1.00340e+01   1.00340e+01   6.54799e-09   1.02028e-13   3.85680e-21   1.36314e+00   1.36314e+00   -1.42971e-08  
1.4330126e+01  1.00249e+01   1.00367e+01   1.00367e+01   7.03659e-09   1.21365e-13   4.33889e-21   1.36028e+00   1.36028e+00   -1.42972e-08  
1.5399265e+01  1.00274e+01   1.00396e+01   1.00396e+01   7.56150e-09   1.44330e-13   4.94039e-21   1.35721e+00   1.35721e+00   -1.42974e-08  
1.6548171e+01  1.00302e+01   1.00427e+01   1.00427e+01   8.12532e-09   1.71559e-13   5.69871e-21   1.35391e+00   1.35391e+00   -1.42977e-08  
1.7782794e+01  1.00333e+01   1.00461e+01   1.00461e+01   8.73085e-09   2.03783e-13   6.63931e-21   1.35037e+00   1.35037e+00   -1.42979e-08  
1.9109530e+01  1.00366e+01   1.00498e+01   1.00498e+01   9.38102e-09   2.41842e-13   7.87841e-21   1.34658e+00   1.34658e+00   -1.42982e-08  
2.0535250e+01  1.00403e+01   1.00539e+01   1.00539e+01   1.00789e-08   2.86696e-13   9.44115e-21   1.34251e+00   1.34251e+00   -1.42985e-08  
2.2067341e+01  1.00444e+01   1.00582e+01   1.00582e+01   1.08279e-08   3.39440e-13   1.14131e-20   1.33814e+00   1.33814e+00   -1.42988e-08  
2.3713737e+01  1.00488e+01   1.00630e+01   1.00630e+01   1.16313e-08   4.01317e-13   1.38918e-20   1.33347e+00   1.33347e+00   -1.42991e-08  
2.5482967e+01  1.00537e+01   1.00681e+01   1.00681e+01   1.24929e-08   4.73733e-13   1.69639e-20   1.32847e+00   1.32847e+00   -1.42995e-08  
2.7384196e+01  1.00590e+01   1.00737e+01   1.00737e+01   1.34165e-08   5.58276e-13   2.05875e-20   1.32313e+00   1.32313e+00   -1.42999e-08  
2.9427272e+01  1.00648e+01   1.00798e+01   1.00798e+01   1.44063e-08   6.56728e-13   2.51983e-20   1.31741e+00   1.31741e+00   -1.43003e-08  
3.1622777e+01  1.00711e+01   1.00863e+01   1.00863e+01   1.54668e-08   7.71094e-13   3.04400e-20   1.31130e+00   1.31130e+00   -1.43008e-08  
3.3982083e+01  1.00779e+01   1.00935e+01   1.00935e+01   1.66028e-08   9.03609e-13   3.64096e-20   1.30478e+00   1.30478e+00   -1.43013e-08  
3.6517413e+01  1.00854e+01   1.01012e+01   1.01012e+01   1.78197e-08   1.05678e-12   4.30252e-20   1.29782e+00   1.29782e+00   -1.43018e-08  
3.9241898e+01  1.00936e+01   1.01095e+01   1.01095e+01   1.91236e-08   1.23340e-12   5.01638e-20   1.29041e+00   1.29041e+00   -1.43024e-08  
4.2169650e+01  1.01024e+01   1.01186e+01   1.01186e+01   2.05208e-08   1.43658e-12   5.76737e-20   1.28251e+00   1.28251e+00   -1.43031e-08  
4.5315836e+01  1.01120e+01   1.01284e+01   1.01284e+01   2.20185e-08   1.66981e-12   6.54031e-20   1.27411e+00   1.27411e+00   -1.43038e-08  
4.8696753e+01  1.01224e+01   1.01390e+01   1.01390e+01   2.36244e-08   1.93695e-12   7.32466e-20   1.26518e+00   1.26518e+00   -1.43045e-08  
5.2329911e+01  1.01337e+01   1.01505e+01   1.01505e+01   2.53468e-08   2.24236e-12   8.11412e-20   1.25569e+00   1.25569e+00   -1.43053e-08  
5.6234133e+01  1.01460e+01   1.01629e+01   1.01629e+01   2.71942e-08   2.59090e-12   8.90865e-20   1.24562e+00   1.24562e+00   -1.43062e-08  
6.0429639e+01  1.01592e+01   1.01764e+01   1.01764e+01   2.91758e-08   2.98803e-12   9.71292e-20   1.23495e+00   1.23495e+00   -1.43072e-08  
6.4938163e+01  1.01735e+01   1.01909e+01   1.01909e+01   3.13010e-08   3.43994e-12   1.05319e-19   1.22364e+00   1.22365e+00   -1.43083e-08  
6.9783058e+01  1.01890e+01   1.02065e+01   1.02065e+01   3.35798e-08   3.95358e-12   1.13793e-19   1.21169e+00   1.21169e+00   -1.43094e-08  
7.4989421e+01  1.02057e+01   1.02234e+01   1.02234e+01   3.60227e-08   4.53695e-12   1.22567e-19   1.19906e+00   1.19906e+00   -1.43106e-08  
8.0584219e+01  1.02237e+01   1.02416e+01   1.02416e+01   3.86409e-08   5.19910e-12   1.31724e-19   1.18573e+00   1.18573e+00   -1.43119e-08  
8.6596432e+01  1.02431e+01   1.02612e+01   1.02612e+01   4.14464e-08   5.95039e-12   1.41325e-19   1.17169e+00   1.17169e+00   -1.43133e-08  
9.3057204e+01  1.02640e+01   1.02823e+01   1.02823e+01   4.44517e-08   6.80278e-12   1.51428e-19   1.15690e+00   1.15690e+00   -1.43149e-08  
1.0000000e+02  1.02865e+01   1.03050e+01   1.03050e+01   4.76702e-08   7.77003e-12   1.62096e-19   1.14136e+00   1.14136e+00   -1.43165e-08  
