! nh - concentration of H nuclei, [cm-3]
! aic- abundance of molecules adsorbed on grains, mol/H
! ae - abundance of electrons, e/H
! aio- abundance of ions, ions/H
! vgn- velocity gradient of neutral component, [cm/s/cm]
! vgi- velocity gradient of ion component, [cm/s/cm]
! p1 - parameter of H2 formation on grains (reaction *H+*H), rate = a*n_H_tot*n_H, a [cm3 s-1]
! p2 - is equal to add_Ne/Ne, add_Ne is the term added to electron production rate Ne to compensate 
!	the velocity difference between ions and charge grains,
! p3 - total electric charge of grains, [cm-3]
!1             2             3             4             5             6             7             8             9             10            11            12            13            14            15            16            
!z(cm)            time(yr)      T_n           T_i           T_e           v_n           v_i           nh            aic           ae            aio           vgn           vgi           p1            p2            p3            
7.2036494897e+13  9.13099e-01   1.70047e+01   2.01140e+01   1.98263e+01   2.50000e+06   2.49975e+06   2.00000e+04   3.26085e-04   8.97664e-08   9.21605e-08   -3.34824e-16  -6.56818e-14  2.44328e-17   1.77248e-09   -1.91460e-07  
1.8699758942e+14  2.37029e+00   1.70048e+01   2.01133e+01   1.98432e+01   2.50000e+06   2.49974e+06   2.00000e+04   3.26086e-04   8.98745e-08   9.22606e-08   -3.44283e-16  -6.73728e-14  2.44329e-17   1.99022e-09   -1.91494e-07  
3.6901643496e+14  4.67747e+00   1.70048e+01   2.01113e+01   1.98418e+01   2.50000e+06   2.49972e+06   2.00000e+04   3.26088e-04   9.00260e-08   9.24026e-08   -3.59459e-16  -7.00693e-14  2.44330e-17   2.42546e-09   -1.91539e-07  
7.4106544430e+14  9.39338e+00   1.70049e+01   2.01087e+01   1.98401e+01   2.50000e+06   2.49970e+06   2.00000e+04   3.26091e-04   9.02756e-08   9.26410e-08   -3.89795e-16  -7.54630e-14  2.44333e-17   3.55858e-09   -1.91612e-07  
1.5667791034e+15  1.98597e+01   1.70052e+01   2.01075e+01   1.98401e+01   2.50000e+06   2.49962e+06   2.00000e+04   3.26099e-04   9.06412e-08   9.29991e-08   -4.63396e-16  -8.85610e-14  2.44340e-17   7.73664e-09   -1.91716e-07  
3.3438932549e+15  4.23855e+01   1.70057e+01   2.01153e+01   1.98481e+01   2.50000e+06   2.49940e+06   2.00000e+04   3.26124e-04   9.10222e-08   9.33797e-08   -6.71849e-16  -1.25683e-13  2.44363e-17   3.09931e-08   -1.91830e-07  
6.9200363917e+15  8.77150e+01   1.70069e+01   2.01497e+01   1.98808e+01   2.49999e+06   2.49847e+06   2.00001e+04   3.26222e-04   9.13368e-08   9.36946e-08   -1.43163e-15  -2.60924e-13  2.44464e-17   2.01707e-07   -1.91982e-07  
1.1307890514e+16  1.43334e+02   1.70094e+01   2.03487e+01   2.00727e+01   2.49997e+06   2.49515e+06   2.00002e+04   3.26565e-04   9.17045e-08   9.40596e-08   -4.22159e-15  -7.55816e-13  2.44978e-17   3.92396e-07   -1.92400e-07  
