! p1 - total abundance of grain mantle molecules, [molecules/H]
! p2 - abundance of hydrocarbon molecules in ice mantles, CnHm, n >=2,  [molecules/H]
! p3 - parameter of H2 formation on grains (reaction *H+*H), rate = a*n_H_tot*n_H, a [cm3 s-1]
! p4 - total electric charge of plasma, [cm-3]
! p5 - total electric charge of grains, [cm-3]
!1             2             3             4             5             6             7             8             9             
!time(yrs)    T_n           T_i           T_e           p1            p2            p3            p4            p5            
1.07461e+06   1.16168e+01   1.18839e+01   1.18502e+01   2.19547e-04   2.63894e-06   6.47557e-22   2.64854e-07   -2.64897e-07  
1.15478e+06   1.16166e+01   1.18840e+01   1.18505e+01   2.19709e-04   2.70959e-06   6.89340e-22   2.64808e-07   -2.64851e-07  
1.24094e+06   1.16164e+01   1.18840e+01   1.18508e+01   2.19866e-04   2.78110e-06   7.39824e-22   2.64759e-07   -2.64804e-07  
1.33352e+06   1.16162e+01   1.18840e+01   1.18511e+01   2.20021e-04   2.85317e-06   8.00588e-22   2.64708e-07   -2.64756e-07  
1.43301e+06   1.16159e+01   1.18840e+01   1.18514e+01   2.20178e-04   2.92546e-06   8.73438e-22   2.64659e-07   -2.64707e-07  
1.53993e+06   1.16157e+01   1.18840e+01   1.18516e+01   2.20346e-04   2.99760e-06   9.60347e-22   2.64611e-07   -2.64657e-07  
1.65482e+06   1.16155e+01   1.18840e+01   1.18519e+01   2.20530e-04   3.06920e-06   1.06332e-21   2.64562e-07   -2.64607e-07  
1.77828e+06   1.16152e+01   1.18839e+01   1.18522e+01   2.20743e-04   3.13985e-06   1.18414e-21   2.64517e-07   -2.64557e-07  
1.91095e+06   1.16150e+01   1.18839e+01   1.18524e+01   2.20994e-04   3.20913e-06   1.32402e-21   2.64465e-07   -2.64507e-07  
2.05353e+06   1.16147e+01   1.18838e+01   1.18527e+01   2.21296e-04   3.27661e-06   1.48320e-21   2.64411e-07   -2.64458e-07  
2.20673e+06   1.16145e+01   1.18838e+01   1.18529e+01   2.21661e-04   3.34186e-06   1.66059e-21   2.64361e-07   -2.64410e-07  
2.37137e+06   1.16143e+01   1.18837e+01   1.18531e+01   2.22098e-04   3.40448e-06   1.85377e-21   2.64313e-07   -2.64363e-07  
2.54830e+06   1.16141e+01   1.18836e+01   1.18533e+01   2.22617e-04   3.46408e-06   2.05936e-21   2.64265e-07   -2.64319e-07  
2.73842e+06   1.16139e+01   1.18835e+01   1.18535e+01   2.23223e-04   3.52031e-06   2.27390e-21   2.64223e-07   -2.64276e-07  
2.94273e+06   1.16137e+01   1.18834e+01   1.18536e+01   2.23918e-04   3.57287e-06   2.49475e-21   2.64179e-07   -2.64236e-07  
3.16228e+06   1.16135e+01   1.18833e+01   1.18538e+01   2.24703e-04   3.62149e-06   2.72069e-21   2.64136e-07   -2.64199e-07  
3.39821e+06   1.16133e+01   1.18832e+01   1.18539e+01   2.25579e-04   3.66601e-06   2.95210e-21   2.64096e-07   -2.64165e-07  
3.65174e+06   1.16131e+01   1.18831e+01   1.18539e+01   2.26545e-04   3.70633e-06   3.19062e-21   2.64061e-07   -2.64134e-07  
3.92419e+06   1.16130e+01   1.18830e+01   1.18540e+01   2.27604e-04   3.74242e-06   3.43862e-21   2.64042e-07   -2.64107e-07  
4.21697e+06   1.16128e+01   1.18829e+01   1.18540e+01   2.28758e-04   3.77437e-06   3.69883e-21   2.64026e-07   -2.64083e-07  
4.53158e+06   1.16126e+01   1.18828e+01   1.18540e+01   2.30012e-04   3.80232e-06   3.97406e-21   2.64010e-07   -2.64062e-07  
4.86968e+06   1.16125e+01   1.18826e+01   1.18540e+01   2.31371e-04   3.82654e-06   4.26708e-21   2.63981e-07   -2.64045e-07  
5.23299e+06   1.16123e+01   1.18825e+01   1.18540e+01   2.32841e-04   3.84734e-06   4.58068e-21   2.63956e-07   -2.64030e-07  
5.62341e+06   1.16122e+01   1.18824e+01   1.18540e+01   2.34430e-04   3.86513e-06   4.91766e-21   2.63943e-07   -2.64017e-07  
6.04296e+06   1.16121e+01   1.18823e+01   1.18539e+01   2.36146e-04   3.88036e-06   5.28087e-21   2.63938e-07   -2.64007e-07  
6.49382e+06   1.16120e+01   1.18822e+01   1.18539e+01   2.37998e-04   3.89353e-06   5.67324e-21   2.63929e-07   -2.63999e-07  
6.97831e+06   1.16118e+01   1.18821e+01   1.18538e+01   2.39994e-04   3.90519e-06   6.09778e-21   2.63923e-07   -2.63993e-07  
7.49894e+06   1.16117e+01   1.18820e+01   1.18538e+01   2.42145e-04   3.91586e-06   6.55752e-21   2.63919e-07   -2.63989e-07  
8.05842e+06   1.16116e+01   1.18819e+01   1.18537e+01   2.44460e-04   3.92610e-06   7.05560e-21   2.63917e-07   -2.63986e-07  
8.65964e+06   1.16114e+01   1.18819e+01   1.18537e+01   2.46950e-04   3.93645e-06   7.59523e-21   2.63912e-07   -2.63985e-07  
9.30572e+06   1.16113e+01   1.18818e+01   1.18536e+01   2.49625e-04   3.94743e-06   8.17977e-21   2.63895e-07   -2.63985e-07  
1.00000e+07   1.16112e+01   1.18818e+01   1.18536e+01   2.52498e-04   3.95955e-06   8.81275e-21   2.63957e-07   -2.63986e-07  
1.07461e+07   1.16110e+01   1.18818e+01   1.18536e+01   2.55579e-04   3.97330e-06   9.49804e-21   2.64014e-07   -2.63989e-07  
1.15478e+07   1.16109e+01   1.18818e+01   1.18535e+01   2.58880e-04   3.98916e-06   1.02399e-20   2.64029e-07   -2.63993e-07  
1.24094e+07   1.16107e+01   1.18818e+01   1.18535e+01   2.62413e-04   4.00761e-06   1.10434e-20   2.64047e-07   -2.63998e-07  
1.33352e+07   1.16105e+01   1.18818e+01   1.18535e+01   2.66192e-04   4.02915e-06   1.19144e-20   2.64043e-07   -2.64005e-07  
1.43301e+07   1.16104e+01   1.18819e+01   1.18536e+01   2.70228e-04   4.05428e-06   1.28599e-20   2.64024e-07   -2.64013e-07  
1.53993e+07   1.16102e+01   1.18820e+01   1.18536e+01   2.74534e-04   4.08356e-06   1.38890e-20   2.64013e-07   -2.64023e-07  
1.65482e+07   1.16101e+01   1.18821e+01   1.18536e+01   2.79123e-04   4.11756e-06   1.50125e-20   2.64042e-07   -2.64033e-07  
1.77828e+07   1.16099e+01   1.18822e+01   1.18537e+01   2.84009e-04   4.15694e-06   1.62445e-20   2.64065e-07   -2.64045e-07  
1.91095e+07   1.16097e+01   1.18823e+01   1.18538e+01   2.89204e-04   4.20240e-06   1.76027e-20   2.64081e-07   -2.64058e-07  
2.05353e+07   1.16095e+01   1.18825e+01   1.18539e+01   2.94722e-04   4.25473e-06   1.91094e-20   2.64096e-07   -2.64073e-07  
2.20673e+07   1.16094e+01   1.18827e+01   1.18540e+01   3.00577e-04   4.31479e-06   2.07935e-20   2.64119e-07   -2.64088e-07  
2.37137e+07   1.16092e+01   1.18829e+01   1.18541e+01   3.06781e-04   4.38355e-06   2.26919e-20   2.64135e-07   -2.64104e-07  
2.54830e+07   1.16090e+01   1.18832e+01   1.18542e+01   3.13348e-04   4.46205e-06   2.48529e-20   2.64160e-07   -2.64121e-07  
2.73842e+07   1.16089e+01   1.18834e+01   1.18544e+01   3.20290e-04   4.55145e-06   2.73399e-20   2.64178e-07   -2.64139e-07  
2.94273e+07   1.16087e+01   1.18837e+01   1.18546e+01   3.27619e-04   4.65299e-06   3.02376e-20   2.64198e-07   -2.64158e-07  
3.16228e+07   1.16085e+01   1.18840e+01   1.18547e+01   3.35347e-04   4.76806e-06   3.36626e-20   2.64216e-07   -2.64177e-07  
3.39821e+07   1.16084e+01   1.18843e+01   1.18549e+01   3.43484e-04   4.89812e-06   3.77781e-20   2.64246e-07   -2.64197e-07  
3.65174e+07   1.16082e+01   1.18846e+01   1.18552e+01   3.52039e-04   5.04477e-06   4.28215e-20   2.64270e-07   -2.64217e-07  
3.92419e+07   1.16081e+01   1.18850e+01   1.18554e+01   3.61020e-04   5.20967e-06   4.91515e-20   2.64290e-07   -2.64238e-07  
4.21697e+07   1.16079e+01   1.18854e+01   1.18556e+01   3.70430e-04   5.39461e-06   5.73368e-20   2.64302e-07   -2.64259e-07  
4.53158e+07   1.16078e+01   1.18858e+01   1.18559e+01   3.80273e-04   5.60144e-06   6.83369e-20   2.64323e-07   -2.64280e-07  
4.86968e+07   1.16077e+01   1.18862e+01   1.18562e+01   3.90544e-04   5.83201e-06   8.39046e-20   2.64344e-07   -2.64302e-07  
5.23299e+07   1.16076e+01   1.18866e+01   1.18565e+01   4.01234e-04   6.08816e-06   1.07609e-19   2.64359e-07   -2.64323e-07  
5.62341e+07   1.16076e+01   1.18871e+01   1.18568e+01   4.12318e-04   6.37149e-06   1.47940e-19   2.64382e-07   -2.64343e-07  
6.04296e+07   1.16075e+01   1.18875e+01   1.18571e+01   4.23740e-04   6.68290e-06   2.30683e-19   2.64388e-07   -2.64361e-07  
6.49382e+07   1.16075e+01   1.18879e+01   1.18574e+01   4.35326e-04   7.02050e-06   4.76099e-19   2.64391e-07   -2.64368e-07  
6.97831e+07   1.16080e+01   1.18876e+01   1.18578e+01   4.46200e-04   7.36352e-06   1.78926e-18   2.64326e-07   -2.64307e-07  
7.49894e+07   1.16104e+01   1.18881e+01   1.18596e+01   4.53662e-04   7.63208e-06   4.15368e-18   2.64183e-07   -2.64169e-07  
8.05842e+07   1.16130e+01   1.18900e+01   1.18621e+01   4.58075e-04   7.82519e-06   5.27062e-18   2.64123e-07   -2.64108e-07  
8.65964e+07   1.16153e+01   1.18920e+01   1.18644e+01   4.60873e-04   7.97965e-06   5.84972e-18   2.64095e-07   -2.64081e-07  
9.30572e+07   1.16172e+01   1.18939e+01   1.18663e+01   4.62683e-04   8.11066e-06   6.17202e-18   2.64082e-07   -2.64068e-07  
1.00000e+08   1.16185e+01   1.18952e+01   1.18677e+01   4.63881e-04   8.22680e-06   6.34397e-18   2.64077e-07   -2.64064e-07  
