! na - integrated neutral gas cooling by atomic emission, cooling < 0., [erg cm-2 s-1]
! nh2 - neutral gas cooling by H2 emission
! nh2o - neutral gas cooling by H2O emission
! nco - neutral gas cooling by CO emission
! noh - neutral gas cooling by OH emission
! nnh3 - neutral gas cooling by p- and o-NH3 emission
! nch3oh - neutral gas cooling by CH3OH (A-,E-) emission
!1           2           3           4           5           6           7           8           
!z(cm)       na          nh2         nh2o        nco         noh         nnh3        nch3oh      
1.16683e+17  -1.074e-07  -2.409e-07  -3.628e-08  -2.361e-06  -8.274e-09  -4.779e-08  0.000e+00   
1.16860e+17  -1.536e-07  -5.309e-07  -3.778e-08  -2.705e-06  -1.023e-08  -4.949e-08  0.000e+00   
1.17040e+17  -2.188e-07  -1.099e-06  -3.945e-08  -3.111e-06  -1.265e-08  -5.148e-08  0.000e+00   
1.17225e+17  -3.094e-07  -2.167e-06  -4.131e-08  -3.588e-06  -1.565e-08  -5.387e-08  0.000e+00   
1.17415e+17  -4.350e-07  -4.123e-06  -4.339e-08  -4.158e-06  -1.937e-08  -5.686e-08  0.000e+00   
1.17511e+17  -5.128e-07  -5.566e-06  -4.453e-08  -4.479e-06  -2.153e-08  -5.863e-08  0.000e+00   
1.17608e+17  -6.026e-07  -7.441e-06  -4.577e-08  -4.828e-06  -2.390e-08  -6.067e-08  0.000e+00   
1.17705e+17  -7.052e-07  -9.831e-06  -4.714e-08  -5.206e-06  -2.650e-08  -6.300e-08  0.000e+00   
1.17806e+17  -8.262e-07  -1.295e-05  -4.869e-08  -5.627e-06  -2.945e-08  -6.582e-08  0.000e+00   
1.17912e+17  -9.695e-07  -1.703e-05  -5.050e-08  -6.102e-06  -3.281e-08  -6.929e-08  0.000e+00   
1.18021e+17  -1.136e-06  -2.219e-05  -5.258e-08  -6.629e-06  -3.659e-08  -7.355e-08  0.000e+00   
1.18134e+17  -1.329e-06  -2.864e-05  -5.502e-08  -7.217e-06  -4.083e-08  -7.884e-08  0.000e+00   
1.18250e+17  -1.553e-06  -3.662e-05  -5.793e-08  -7.875e-06  -4.559e-08  -8.550e-08  0.000e+00   
1.18368e+17  -1.807e-06  -4.618e-05  -6.140e-08  -8.599e-06  -5.083e-08  -9.384e-08  0.000e+00   
1.18488e+17  -2.096e-06  -5.755e-05  -6.566e-08  -9.405e-06  -5.663e-08  -1.044e-07  0.000e+00   
1.18614e+17  -2.430e-06  -7.106e-05  -7.106e-08  -1.031e-05  -6.313e-08  -1.182e-07  0.000e+00   
1.18740e+17  -2.802e-06  -8.643e-05  -7.784e-08  -1.132e-05  -7.018e-08  -1.357e-07  0.000e+00   
1.18867e+17  -3.216e-06  -1.037e-04  -8.657e-08  -1.242e-05  -7.784e-08  -1.580e-07  0.000e+00   
1.18998e+17  -3.684e-06  -1.233e-04  -9.809e-08  -1.366e-05  -8.628e-08  -1.867e-07  0.000e+00   
1.19133e+17  -4.216e-06  -1.453e-04  -1.137e-07  -1.508e-05  -9.567e-08  -2.239e-07  0.000e+00   
1.19273e+17  -4.825e-06  -1.704e-04  -1.353e-07  -1.671e-05  -1.062e-07  -2.728e-07  0.000e+00   
1.19419e+17  -5.520e-06  -1.986e-04  -1.657e-07  -1.859e-05  -1.179e-07  -3.367e-07  0.000e+00   
1.19567e+17  -6.295e-06  -2.297e-04  -2.078e-07  -2.073e-05  -1.308e-07  -4.188e-07  0.000e+00   
1.19721e+17  -7.172e-06  -2.644e-04  -2.677e-07  -2.320e-05  -1.450e-07  -5.254e-07  0.000e+00   
1.19876e+17  -8.145e-06  -3.028e-04  -3.523e-07  -2.602e-05  -1.605e-07  -6.609e-07  0.000e+00   
1.20039e+17  -9.259e-06  -3.466e-04  -4.768e-07  -2.934e-05  -1.779e-07  -8.380e-07  0.000e+00   
1.20205e+17  -1.050e-05  -3.957e-04  -6.560e-07  -3.313e-05  -1.968e-07  -1.062e-06  0.000e+00   
1.20375e+17  -1.187e-05  -4.506e-04  -9.136e-07  -3.747e-05  -2.173e-07  -1.342e-06  0.000e+00   
1.20545e+17  -1.335e-05  -5.110e-04  -1.272e-06  -4.231e-05  -2.393e-07  -1.681e-06  0.000e+00   
1.20720e+17  -1.499e-05  -5.797e-04  -1.784e-06  -4.783e-05  -2.639e-07  -2.098e-06  0.000e+00   
1.20901e+17  -1.681e-05  -6.580e-04  -2.513e-06  -5.412e-05  -2.922e-07  -2.601e-06  0.000e+00   
1.21086e+17  -1.879e-05  -7.474e-04  -3.543e-06  -6.120e-05  -3.267e-07  -3.196e-06  0.000e+00   
1.21274e+17  -2.094e-05  -8.493e-04  -4.983e-06  -6.910e-05  -3.723e-07  -3.883e-06  0.000e+00   
1.21466e+17  -2.326e-05  -9.664e-04  -6.997e-06  -7.791e-05  -4.387e-07  -4.662e-06  0.000e+00   
1.21660e+17  -2.571e-05  -1.099e-03  -9.745e-06  -8.757e-05  -5.396e-07  -5.514e-06  0.000e+00   
1.21854e+17  -2.827e-05  -1.249e-03  -1.346e-05  -9.811e-05  -6.950e-07  -6.427e-06  0.000e+00   
1.22049e+17  -3.090e-05  -1.418e-03  -1.842e-05  -1.095e-04  -9.270e-07  -7.381e-06  0.000e+00   
1.22246e+17  -3.358e-05  -1.610e-03  -2.496e-05  -1.219e-04  -1.259e-06  -8.372e-06  0.000e+00   
1.22444e+17  -3.625e-05  -1.825e-03  -3.348e-05  -1.352e-04  -1.708e-06  -9.388e-06  0.000e+00   
1.22643e+17  -3.884e-05  -2.065e-03  -4.438e-05  -1.495e-04  -2.274e-06  -1.042e-05  0.000e+00   
1.22701e+17  -6.336e-05  -6.540e-01  -4.034e-04  -5.662e-04  -8.272e-06  -1.959e-05  0.000e+00   
1.22701e+17  -6.336e-05  -6.540e-01  -4.034e-04  -5.662e-04  -8.272e-06  -1.959e-05  0.000e+00   
