!time         log(Av)       log(n)        log(Tg)       log(Td)       
!(yr)         log(mag)      log(cm-3)     log(K)        log(K)        
1.00000e+00   1.00000e+00   4.30103e+00   1.00009e+00   1.08201e+00   
1.07461e+00   1.00000e+00   4.30103e+00   1.00009e+00   1.08201e+00   
1.15478e+00   1.00000e+00   4.30103e+00   1.00010e+00   1.08201e+00   
1.24094e+00   1.00000e+00   4.30103e+00   1.00011e+00   1.08201e+00   
1.33352e+00   1.00000e+00   4.30103e+00   1.00012e+00   1.08201e+00   
1.43301e+00   1.00000e+00   4.30103e+00   1.00013e+00   1.08201e+00   
1.53993e+00   1.00000e+00   4.30103e+00   1.00014e+00   1.08201e+00   
1.65482e+00   1.00000e+00   4.30103e+00   1.00016e+00   1.08201e+00   
1.77828e+00   1.00000e+00   4.30103e+00   1.00017e+00   1.08201e+00   
1.91095e+00   1.00000e+00   4.30103e+00   1.00019e+00   1.08201e+00   
2.05353e+00   1.00000e+00   4.30103e+00   1.00020e+00   1.08201e+00   
2.20673e+00   1.00000e+00   4.30103e+00   1.00022e+00   1.08201e+00   
2.37137e+00   1.00000e+00   4.30103e+00   1.00025e+00   1.08201e+00   
2.54830e+00   1.00000e+00   4.30103e+00   1.00027e+00   1.08201e+00   
2.73842e+00   1.00000e+00   4.30103e+00   1.00030e+00   1.08201e+00   
2.94273e+00   1.00000e+00   4.30103e+00   1.00032e+00   1.08201e+00   
3.16228e+00   1.00000e+00   4.30103e+00   1.00036e+00   1.08201e+00   
3.39821e+00   1.00000e+00   4.30103e+00   1.00039e+00   1.08201e+00   
3.65174e+00   1.00000e+00   4.30103e+00   1.00043e+00   1.08201e+00   
3.92419e+00   1.00000e+00   4.30103e+00   1.00048e+00   1.08201e+00   
4.21697e+00   1.00000e+00   4.30103e+00   1.00052e+00   1.08201e+00   
4.53158e+00   1.00000e+00   4.30103e+00   1.00058e+00   1.08201e+00   
4.86968e+00   1.00000e+00   4.30103e+00   1.00063e+00   1.08201e+00   
5.23299e+00   1.00000e+00   4.30103e+00   1.00070e+00   1.08201e+00   
5.62341e+00   1.00000e+00   4.30103e+00   1.00077e+00   1.08201e+00   
6.04296e+00   1.00000e+00   4.30103e+00   1.00085e+00   1.08201e+00   
6.49382e+00   1.00000e+00   4.30103e+00   1.00094e+00   1.08201e+00   
6.97831e+00   1.00000e+00   4.30103e+00   1.00103e+00   1.08201e+00   
7.49894e+00   1.00000e+00   4.30103e+00   1.00114e+00   1.08201e+00   
8.05842e+00   1.00000e+00   4.30103e+00   1.00125e+00   1.08201e+00   
8.65964e+00   1.00000e+00   4.30103e+00   1.00138e+00   1.08201e+00   
9.30572e+00   1.00000e+00   4.30103e+00   1.00152e+00   1.08201e+00   
1.00000e+01   1.00000e+00   4.30103e+00   1.00168e+00   1.08201e+00   
1.07461e+01   1.00000e+00   4.30103e+00   1.00184e+00   1.08201e+00   
1.15478e+01   1.00000e+00   4.30103e+00   1.00203e+00   1.08201e+00   
1.24094e+01   1.00000e+00   4.30103e+00   1.00223e+00   1.08201e+00   
1.33352e+01   1.00000e+00   4.30103e+00   1.00245e+00   1.08201e+00   
1.43301e+01   1.00000e+00   4.30103e+00   1.00269e+00   1.08201e+00   
1.53993e+01   1.00000e+00   4.30103e+00   1.00295e+00   1.08201e+00   
1.65482e+01   1.00000e+00   4.30103e+00   1.00324e+00   1.08201e+00   
1.77828e+01   1.00000e+00   4.30103e+00   1.00355e+00   1.08201e+00   
1.91095e+01   1.00000e+00   4.30103e+00   1.00389e+00   1.08201e+00   
2.05353e+01   1.00000e+00   4.30103e+00   1.00426e+00   1.08201e+00   
2.20673e+01   1.00000e+00   4.30103e+00   1.00466e+00   1.08201e+00   
2.37137e+01   1.00000e+00   4.30103e+00   1.00509e+00   1.08201e+00   
2.54830e+01   1.00000e+00   4.30103e+00   1.00556e+00   1.08201e+00   
2.73842e+01   1.00000e+00   4.30103e+00   1.00606e+00   1.08201e+00   
2.94273e+01   1.00000e+00   4.30103e+00   1.00661e+00   1.08201e+00   
3.16228e+01   1.00000e+00   4.30103e+00   1.00720e+00   1.08201e+00   
3.39821e+01   1.00000e+00   4.30103e+00   1.00784e+00   1.08201e+00   
3.65174e+01   1.00000e+00   4.30103e+00   1.00853e+00   1.08201e+00   
3.92419e+01   1.00000e+00   4.30103e+00   1.00927e+00   1.08201e+00   
4.21697e+01   1.00000e+00   4.30103e+00   1.01006e+00   1.08201e+00   
4.53158e+01   1.00000e+00   4.30103e+00   1.01092e+00   1.08201e+00   
4.86968e+01   1.00000e+00   4.30103e+00   1.01184e+00   1.08201e+00   
5.23299e+01   1.00000e+00   4.30103e+00   1.01283e+00   1.08201e+00   
5.62341e+01   1.00000e+00   4.30103e+00   1.01389e+00   1.08201e+00   
6.04296e+01   1.00000e+00   4.30103e+00   1.01502e+00   1.08201e+00   
6.49382e+01   1.00000e+00   4.30103e+00   1.01624e+00   1.08201e+00   
6.97831e+01   1.00000e+00   4.30103e+00   1.01754e+00   1.08201e+00   
7.49894e+01   1.00000e+00   4.30103e+00   1.01893e+00   1.08201e+00   
8.05842e+01   1.00000e+00   4.30103e+00   1.02041e+00   1.08201e+00   
8.65964e+01   1.00000e+00   4.30103e+00   1.02198e+00   1.08201e+00   
9.30572e+01   1.00000e+00   4.30103e+00   1.02367e+00   1.08201e+00   
1.00000e+02   1.00000e+00   4.30103e+00   1.02546e+00   1.08201e+00   
1.07461e+02   1.00000e+00   4.30103e+00   1.02736e+00   1.08201e+00   
1.15478e+02   1.00000e+00   4.30103e+00   1.02938e+00   1.08201e+00   
1.24094e+02   1.00000e+00   4.30103e+00   1.03152e+00   1.08201e+00   
1.33352e+02   1.00000e+00   4.30103e+00   1.03379e+00   1.08201e+00   
1.43301e+02   1.00000e+00   4.30103e+00   1.03619e+00   1.08201e+00   
1.53993e+02   1.00000e+00   4.30103e+00   1.03873e+00   1.08201e+00   
1.65482e+02   1.00000e+00   4.30103e+00   1.04141e+00   1.08201e+00   
1.77828e+02   1.00000e+00   4.30103e+00   1.04423e+00   1.08201e+00   
1.91095e+02   1.00000e+00   4.30103e+00   1.04719e+00   1.08201e+00   
2.05353e+02   1.00000e+00   4.30103e+00   1.05030e+00   1.08201e+00   
2.20673e+02   1.00000e+00   4.30103e+00   1.05355e+00   1.08202e+00   
2.37137e+02   1.00000e+00   4.30103e+00   1.05694e+00   1.08202e+00   
2.54830e+02   1.00000e+00   4.30103e+00   1.06047e+00   1.08202e+00   
2.73842e+02   1.00000e+00   4.30103e+00   1.06413e+00   1.08202e+00   
2.94273e+02   1.00000e+00   4.30103e+00   1.06790e+00   1.08202e+00   
3.16228e+02   1.00000e+00   4.30103e+00   1.07179e+00   1.08202e+00   
3.39821e+02   1.00000e+00   4.30103e+00   1.07576e+00   1.08202e+00   
3.65174e+02   1.00000e+00   4.30103e+00   1.07979e+00   1.08202e+00   
3.92419e+02   1.00000e+00   4.30103e+00   1.08387e+00   1.08202e+00   
4.21697e+02   1.00000e+00   4.30103e+00   1.08797e+00   1.08202e+00   
4.53158e+02   1.00000e+00   4.30103e+00   1.09205e+00   1.08202e+00   
4.86968e+02   1.00000e+00   4.30103e+00   1.09608e+00   1.08202e+00   
5.23299e+02   1.00000e+00   4.30103e+00   1.10003e+00   1.08202e+00   
5.62341e+02   1.00000e+00   4.30103e+00   1.10385e+00   1.08202e+00   
6.04296e+02   1.00000e+00   4.30103e+00   1.10753e+00   1.08202e+00   
6.49382e+02   1.00000e+00   4.30103e+00   1.11102e+00   1.08202e+00   
6.97831e+02   1.00000e+00   4.30103e+00   1.11430e+00   1.08203e+00   
7.49894e+02   1.00000e+00   4.30103e+00   1.11735e+00   1.08203e+00   
8.05842e+02   1.00000e+00   4.30103e+00   1.12017e+00   1.08203e+00   
8.65964e+02   1.00000e+00   4.30103e+00   1.12275e+00   1.08203e+00   
9.30572e+02   1.00000e+00   4.30103e+00   1.12509e+00   1.08203e+00   
1.00000e+03   1.00000e+00   4.30103e+00   1.12720e+00   1.08203e+00   
1.07461e+03   1.00000e+00   4.30103e+00   1.12909e+00   1.08203e+00   
1.15478e+03   1.00000e+00   4.30103e+00   1.13078e+00   1.08203e+00   
1.24094e+03   1.00000e+00   4.30103e+00   1.13227e+00   1.08203e+00   
1.33352e+03   1.00000e+00   4.30103e+00   1.13359e+00   1.08203e+00   
1.43301e+03   1.00000e+00   4.30103e+00   1.13476e+00   1.08203e+00   
1.53993e+03   1.00000e+00   4.30103e+00   1.13577e+00   1.08203e+00   
1.65482e+03   1.00000e+00   4.30103e+00   1.13665e+00   1.08203e+00   
1.77828e+03   1.00000e+00   4.30103e+00   1.13741e+00   1.08203e+00   
1.91095e+03   1.00000e+00   4.30103e+00   1.13806e+00   1.08203e+00   
2.05353e+03   1.00000e+00   4.30103e+00   1.13861e+00   1.08203e+00   
2.20673e+03   1.00000e+00   4.30103e+00   1.13907e+00   1.08203e+00   
2.37137e+03   1.00000e+00   4.30103e+00   1.13945e+00   1.08203e+00   
2.54830e+03   1.00000e+00   4.30103e+00   1.13975e+00   1.08203e+00   
2.73842e+03   1.00000e+00   4.30103e+00   1.13999e+00   1.08203e+00   
2.94273e+03   1.00000e+00   4.30103e+00   1.14017e+00   1.08203e+00   
3.16228e+03   1.00000e+00   4.30103e+00   1.14030e+00   1.08203e+00   
3.39821e+03   1.00000e+00   4.30103e+00   1.14038e+00   1.08203e+00   
3.65174e+03   1.00000e+00   4.30103e+00   1.14043e+00   1.08203e+00   
3.92419e+03   1.00000e+00   4.30103e+00   1.14045e+00   1.08203e+00   
4.21697e+03   1.00000e+00   4.30103e+00   1.14045e+00   1.08203e+00   
4.53158e+03   1.00000e+00   4.30103e+00   1.14042e+00   1.08203e+00   
4.86968e+03   1.00000e+00   4.30103e+00   1.14037e+00   1.08203e+00   
5.23299e+03   1.00000e+00   4.30103e+00   1.14031e+00   1.08203e+00   
5.62341e+03   1.00000e+00   4.30103e+00   1.14025e+00   1.08203e+00   
6.04296e+03   1.00000e+00   4.30103e+00   1.14017e+00   1.08203e+00   
6.49382e+03   1.00000e+00   4.30103e+00   1.14007e+00   1.08203e+00   
6.97831e+03   1.00000e+00   4.30103e+00   1.13997e+00   1.08203e+00   
7.49894e+03   1.00000e+00   4.30103e+00   1.13986e+00   1.08203e+00   
8.05842e+03   1.00000e+00   4.30103e+00   1.13973e+00   1.08203e+00   
8.65964e+03   1.00000e+00   4.30103e+00   1.13959e+00   1.08203e+00   
