! na - neutral gas cooling by atomic emission, cooling < 0., [erg cm-3 s-1]
! nh2 - neutral gas cooling by H2 emission
! nh2o - neutral gas cooling by H2O emission
! nco - neutral gas cooling by CO emission
! noh - neutral gas cooling by OH emission
! nnh3 - neutral gas cooling by p- and o-NH3 emission
! nch3oh - neutral gas cooling by CH3OH (A-,E-) emission
! ni - neutral gas heating by neutral-ion collisions
! ne - neutral gas heating by neutral-electron collisions
! nd - neutral gas heating by neutral-dust collisions
! nch - neutral gas heating by chemical reactions
! nh2-h - neutral gas cooling by H2-H dissociation (is included in previous parameter nch)
! ph - heating by photoeffect on dust grains
! cr - heating by cosmic rays
! rlh2 - radiative energy loss by H2 molecule
! ih2 - ion fluid cooling via excitation of H2 via ion-H2 collisions
! in - ion gas component heating by neutral-ion collisions
! ie - ion gas component heating by ion-electron collisions
! ich - ion gas component heating by chemical reactions
! ea - electron component cooling by atomic emission
! eh2 - electron component cooling by H2 emission
! eh2o - electron component cooling by H2O emission
! en - electron component heating by neutral-electron collisions
! ei - electron component heating by ion-electron collisions
! ech - electron component heating by chemical reactions
!1           2           3           4           5           6           7           8           9           10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          
!t(yr)/z(cm) na          nh2         nh2o        nco         noh         nnh3        nch3oh      ni          ne          nd          nch         nh2-h       ph          cr          rlh2        ih2         in          ie          ich         ea          eh2         eh2o        en          ei          ech         
6.04296e+01  -9.554e-25  7.130e-27   -3.462e-29  -6.740e-25  0.000e+00   0.000e+00   0.000e+00   2.161e-23   9.637e-26   1.172e-24   4.779e-22   -2.177e-121 1.034e-26   3.084e-25   1.129e-25   0.000e+00   -2.161e-23  -1.643e-25  2.133e-23   -2.399e-25  2.738e-28   -1.234e-29  -9.637e-26  1.643e-25   -2.635e-25  
6.49382e+01  -9.700e-25  7.184e-27   -3.539e-29  -6.975e-25  0.000e+00   0.000e+00   0.000e+00   2.150e-23   9.601e-26   1.153e-24   4.772e-22   -2.352e-121 1.034e-26   3.084e-25   1.135e-25   0.000e+00   -2.150e-23  -1.690e-25  2.124e-23   -2.405e-25  2.707e-28   -1.238e-29  -9.601e-26  1.690e-25   -2.554e-25  
6.97831e+01  -9.854e-25  7.239e-27   -3.624e-29  -7.219e-25  0.000e+00   0.000e+00   0.000e+00   2.138e-23   9.561e-26   1.134e-24   4.761e-22   -2.540e-121 1.034e-26   3.084e-25   1.141e-25   0.000e+00   -2.138e-23  -1.737e-25  2.114e-23   -2.411e-25  2.673e-28   -1.243e-29  -9.561e-26  1.737e-25   -2.472e-25  
7.49894e+01  -1.002e-24  7.294e-27   -3.719e-29  -7.470e-25  0.000e+00   0.000e+00   0.000e+00   2.125e-23   9.516e-26   1.112e-24   4.747e-22   -2.743e-121 1.034e-26   3.084e-25   1.148e-25   0.000e+00   -2.125e-23  -1.783e-25  2.103e-23   -2.416e-25  2.637e-28   -1.249e-29  -9.516e-26  1.783e-25   -2.388e-25  
8.05842e+01  -1.019e-24  7.355e-27   -3.826e-29  -7.726e-25  0.000e+00   0.000e+00   0.000e+00   2.110e-23   9.466e-26   1.090e-24   4.729e-22   -2.959e-121 1.034e-26   3.084e-25   1.160e-25   0.000e+00   -2.110e-23  -1.829e-25  2.090e-23   -2.422e-25  2.607e-28   -1.257e-29  -9.466e-26  1.829e-25   -2.303e-25  
8.65964e+01  -1.039e-24  7.443e-27   -3.946e-29  -7.993e-25  0.000e+00   0.000e+00   0.000e+00   2.095e-23   9.411e-26   1.065e-24   4.708e-22   -3.189e-121 1.034e-26   3.084e-25   1.178e-25   0.000e+00   -2.095e-23  -1.875e-25  2.076e-23   -2.426e-25  2.588e-28   -1.266e-29  -9.411e-26  1.875e-25   -2.217e-25  
9.30572e+01  -1.059e-24  7.559e-27   -4.081e-29  -8.272e-25  0.000e+00   0.000e+00   0.000e+00   2.078e-23   9.351e-26   1.039e-24   4.684e-22   -3.436e-121 1.034e-26   3.084e-25   1.197e-25   0.000e+00   -2.078e-23  -1.920e-25  2.061e-23   -2.430e-25  2.569e-28   -1.276e-29  -9.351e-26  1.920e-25   -2.131e-25  
1.00000e+02  -1.081e-24  7.696e-27   -4.234e-29  -8.563e-25  0.000e+00   0.000e+00   0.000e+00   2.059e-23   9.285e-26   1.011e-24   4.657e-22   -3.701e-121 1.034e-26   3.084e-25   1.218e-25   0.000e+00   -2.059e-23  -1.963e-25  2.044e-23   -2.433e-25  2.550e-28   -1.290e-29  -9.285e-26  1.963e-25   -2.045e-25  
1.07461e+02  -1.105e-24  7.850e-27   -4.408e-29  -8.870e-25  0.000e+00   0.000e+00   0.000e+00   2.039e-23   9.213e-26   9.804e-25   4.626e-22   -3.985e-121 1.034e-26   3.084e-25   1.239e-25   0.000e+00   -2.039e-23  -2.006e-25  2.026e-23   -2.436e-25  2.530e-28   -1.305e-29  -9.213e-26  2.006e-25   -1.958e-25  
1.15478e+02  -1.131e-24  8.019e-27   -4.606e-29  -9.191e-25  0.000e+00   0.000e+00   0.000e+00   2.017e-23   9.133e-26   9.481e-25   4.592e-22   -4.289e-121 1.034e-26   3.084e-25   1.262e-25   0.000e+00   -2.017e-23  -2.046e-25  2.006e-23   -2.436e-25  2.507e-28   -1.323e-29  -9.133e-26  2.046e-25   -1.872e-25  
1.24094e+02  -1.158e-24  8.201e-27   -4.833e-29  -9.528e-25  0.000e+00   0.000e+00   0.000e+00   1.994e-23   9.046e-26   9.135e-25   4.554e-22   -4.615e-121 1.034e-26   3.084e-25   1.287e-25   0.000e+00   -1.994e-23  -2.083e-25  1.984e-23   -2.435e-25  2.483e-28   -1.345e-29  -9.046e-26  2.083e-25   -1.787e-25  
1.33352e+02  -1.188e-24  8.395e-27   -5.093e-29  -9.886e-25  0.000e+00   0.000e+00   0.000e+00   1.968e-23   8.949e-26   8.764e-25   4.512e-22   -4.964e-121 1.034e-26   3.084e-25   1.312e-25   0.000e+00   -1.968e-23  -2.118e-25  1.960e-23   -2.432e-25  2.457e-28   -1.370e-29  -8.949e-26  2.118e-25   -1.702e-25  
1.43301e+02  -1.220e-24  8.601e-27   -5.393e-29  -1.026e-24  0.000e+00   0.000e+00   0.000e+00   1.940e-23   8.843e-26   8.369e-25   4.466e-22   -5.338e-121 1.034e-26   3.084e-25   1.340e-25   0.000e+00   -1.940e-23  -2.149e-25  1.933e-23   -2.427e-25  2.428e-28   -1.400e-29  -8.843e-26  2.149e-25   -1.619e-25  
1.53993e+02  -1.255e-24  8.819e-27   -5.739e-29  -1.065e-24  0.000e+00   0.000e+00   0.000e+00   1.909e-23   8.726e-26   7.947e-25   4.416e-22   -5.737e-121 1.034e-26   3.084e-25   1.369e-25   0.000e+00   -1.909e-23  -2.175e-25  1.904e-23   -2.418e-25  2.397e-28   -1.435e-29  -8.726e-26  2.175e-25   -1.538e-25  
1.65482e+02  -1.294e-24  9.051e-27   -6.141e-29  -1.107e-24  0.000e+00   0.000e+00   0.000e+00   1.875e-23   8.597e-26   7.496e-25   4.360e-22   -6.163e-121 1.034e-26   3.084e-25   1.400e-25   0.000e+00   -1.875e-23  -2.196e-25  1.872e-23   -2.406e-25  2.363e-28   -1.475e-29  -8.597e-26  2.196e-25   -1.458e-25  
1.77828e+02  -1.335e-24  9.296e-27   -6.609e-29  -1.150e-24  0.000e+00   0.000e+00   0.000e+00   1.839e-23   8.454e-26   7.016e-25   4.299e-22   -6.619e-121 1.034e-26   3.084e-25   1.432e-25   0.000e+00   -1.839e-23  -2.210e-25  1.837e-23   -2.389e-25  2.325e-28   -1.521e-29  -8.454e-26  2.210e-25   -1.380e-25  
1.91095e+02  -1.380e-24  9.555e-27   -7.155e-29  -1.196e-24  0.000e+00   0.000e+00   0.000e+00   1.799e-23   8.296e-26   6.505e-25   4.231e-22   -7.104e-121 1.034e-26   3.084e-25   1.467e-25   0.000e+00   -1.799e-23  -2.217e-25  1.799e-23   -2.368e-25  2.285e-28   -1.574e-29  -8.296e-26  2.217e-25   -1.305e-25  
2.05353e+02  -1.428e-24  9.830e-27   -7.795e-29  -1.244e-24  0.000e+00   0.000e+00   0.000e+00   1.756e-23   8.121e-26   5.963e-25   4.157e-22   -7.620e-121 1.034e-26   3.084e-25   1.503e-25   0.000e+00   -1.756e-23  -2.216e-25  1.756e-23   -2.340e-25  2.241e-28   -1.634e-29  -8.121e-26  2.216e-25   -1.232e-25  
2.20673e+02  -1.480e-24  1.012e-26   -8.547e-29  -1.295e-24  0.000e+00   0.000e+00   0.000e+00   1.708e-23   7.928e-26   5.387e-25   4.075e-22   -8.167e-121 1.034e-26   3.084e-25   1.542e-25   0.000e+00   -1.708e-23  -2.205e-25  1.710e-23   -2.304e-25  2.194e-28   -1.703e-29  -7.928e-26  2.205e-25   -1.161e-25  
2.37137e+02  -1.536e-24  1.043e-26   -9.432e-29  -1.348e-24  0.000e+00   0.000e+00   0.000e+00   1.657e-23   7.715e-26   4.778e-25   3.985e-22   -8.748e-121 1.034e-26   3.084e-25   1.583e-25   0.000e+00   -1.657e-23  -2.183e-25  1.659e-23   -2.261e-25  2.143e-28   -1.781e-29  -7.715e-26  2.183e-25   -1.093e-25  
2.54830e+02  -1.597e-24  1.076e-26   -1.048e-28  -1.404e-24  0.000e+00   0.000e+00   0.000e+00   1.600e-23   7.480e-26   4.136e-25   3.886e-22   -9.361e-121 1.034e-26   3.084e-25   1.627e-25   0.000e+00   -1.600e-23  -2.150e-25  1.604e-23   -2.210e-25  2.088e-28   -1.868e-29  -7.480e-26  2.150e-25   -1.026e-25  
2.73842e+02  -1.663e-24  1.110e-26   -1.171e-28  -1.464e-24  0.000e+00   0.000e+00   0.000e+00   1.539e-23   7.221e-26   3.460e-25   3.777e-22   -1.001e-120 1.034e-26   3.084e-25   1.674e-25   0.000e+00   -1.539e-23  -2.105e-25  1.543e-23   -2.148e-25  2.030e-28   -1.964e-29  -7.221e-26  2.105e-25   -9.626e-26  
2.94273e+02  -1.734e-24  1.147e-26   -1.317e-28  -1.527e-24  0.000e+00   0.000e+00   0.000e+00   1.473e-23   6.937e-26   2.751e-25   3.657e-22   -1.069e-120 1.034e-26   3.084e-25   1.723e-25   0.000e+00   -1.473e-23  -2.045e-25  1.478e-23   -2.076e-25  1.968e-28   -2.071e-29  -6.937e-26  2.045e-25   -9.007e-26  
3.16228e+02  -1.809e-24  1.187e-26   -1.490e-28  -1.593e-24  0.000e+00   0.000e+00   0.000e+00   1.402e-23   6.628e-26   2.010e-25   3.526e-22   -1.139e-120 1.034e-26   3.084e-25   1.775e-25   0.000e+00   -1.402e-23  -1.972e-25  1.407e-23   -1.994e-25  1.901e-28   -2.187e-29  -6.628e-26  1.972e-25   -8.406e-26  
3.39821e+02  -1.889e-24  1.228e-26   -1.695e-28  -1.663e-24  0.000e+00   0.000e+00   0.000e+00   1.326e-23   6.292e-26   1.241e-25   3.383e-22   -1.213e-120 1.034e-26   3.084e-25   1.831e-25   0.000e+00   -1.326e-23  -1.885e-25  1.331e-23   -1.900e-25  1.831e-28   -2.312e-29  -6.292e-26  1.885e-25   -7.820e-26  
3.65174e+02  -1.973e-24  1.273e-26   -1.937e-28  -1.736e-24  0.000e+00   0.000e+00   0.000e+00   1.245e-23   5.929e-26   4.446e-26   3.228e-22   -1.289e-120 1.034e-26   3.084e-25   1.891e-25   0.000e+00   -1.245e-23  -1.786e-25  1.249e-23   -1.797e-25  1.758e-28   -2.445e-29  -5.929e-26  1.786e-25   -7.245e-26  
3.92419e+02  -2.061e-24  1.320e-26   -2.222e-28  -1.812e-24  0.000e+00   0.000e+00   0.000e+00   1.159e-23   5.542e-26   -3.736e-26  3.060e-22   -1.367e-120 1.034e-26   3.084e-25   1.954e-25   0.000e+00   -1.159e-23  -1.674e-25  1.163e-23   -1.684e-25  1.680e-28   -2.582e-29  -5.542e-26  1.674e-25   -6.678e-26  
4.21697e+02  -2.153e-24  1.370e-26   -2.556e-28  -1.892e-24  0.000e+00   0.000e+00   0.000e+00   1.069e-23   5.133e-26   -1.209e-25  2.882e-22   -1.447e-120 1.034e-26   3.084e-25   2.021e-25   0.000e+00   -1.069e-23  -1.551e-25  1.073e-23   -1.563e-25  1.599e-28   -2.721e-29  -5.133e-26  1.551e-25   -6.116e-26  
4.53158e+02  -2.249e-24  1.423e-26   -2.945e-28  -1.975e-24  0.000e+00   0.000e+00   0.000e+00   9.756e-24   4.704e-26   -2.055e-25  2.693e-22   -1.527e-120 1.034e-26   3.084e-25   2.092e-25   0.000e+00   -9.756e-24  -1.419e-25  9.794e-24   -1.435e-25  1.515e-28   -2.855e-29  -4.704e-26  1.419e-25   -5.558e-26  
4.86968e+02  -2.346e-24  1.479e-26   -3.390e-28  -2.059e-24  0.000e+00   0.000e+00   0.000e+00   8.807e-24   4.263e-26   -2.905e-25  2.495e-22   -1.608e-120 1.035e-26   3.084e-25   2.168e-25   0.000e+00   -8.807e-24  -1.281e-25  8.840e-24   -1.303e-25  1.429e-28   -2.977e-29  -4.263e-26  1.281e-25   -5.001e-26  
5.23299e+02  -2.443e-24  1.539e-26   -3.890e-28  -2.145e-24  0.000e+00   0.000e+00   0.000e+00   7.854e-24   3.817e-26   -3.750e-25  2.291e-22   -1.687e-120 1.035e-26   3.084e-25   2.248e-25   0.000e+00   -7.854e-24  -1.141e-25  7.883e-24   -1.169e-25  1.341e-28   -3.076e-29  -3.817e-26  1.141e-25   -4.449e-26  
5.62341e+02  -2.541e-24  1.602e-26   -4.425e-28  -2.231e-24  0.000e+00   0.000e+00   0.000e+00   6.915e-24   3.372e-26   -4.583e-25  2.084e-22   -1.765e-120 1.035e-26   3.084e-25   2.332e-25   0.000e+00   -6.915e-24  -1.002e-25  6.939e-24   -1.038e-25  1.252e-28   -3.134e-29  -3.372e-26  1.002e-25   -3.902e-26  
6.04296e+02  -2.637e-24  1.669e-26   -5.002e-28  -2.317e-24  0.000e+00   0.000e+00   0.000e+00   6.006e-24   2.940e-26   -5.395e-25  1.878e-22   -1.840e-120 1.035e-26   3.084e-25   2.421e-25   0.000e+00   -6.006e-24  -8.687e-26  6.026e-24   -9.123e-26  1.163e-28   -3.154e-29  -2.940e-26  8.687e-26   -3.366e-26  
6.49382e+02  -2.730e-24  1.738e-26   -5.390e-28  -2.400e-24  0.000e+00   0.000e+00   0.000e+00   5.145e-24   2.526e-26   -6.177e-25  1.675e-22   -1.912e-120 1.035e-26   3.084e-25   2.514e-25   0.000e+00   -5.145e-24  -7.428e-26  5.160e-24   -7.943e-26  1.074e-28   -3.009e-29  -2.526e-26  7.428e-26   -2.847e-26  
6.97831e+02  -2.819e-24  1.811e-26   -5.909e-28  -2.481e-24  0.000e+00   0.000e+00   0.000e+00   4.352e-24   2.143e-26   -6.923e-25  1.480e-22   -1.979e-120 1.035e-26   3.084e-25   2.611e-25   0.000e+00   -4.352e-24  -6.279e-26  4.364e-24   -6.865e-26  9.873e-29   -2.906e-29  -2.143e-26  6.279e-26   -2.352e-26  
7.49894e+02  -2.903e-24  1.886e-26   -6.597e-28  -2.559e-24  0.000e+00   0.000e+00   0.000e+00   3.637e-24   1.796e-26   -7.627e-25  1.296e-22   -2.042e-120 1.035e-26   3.084e-25   2.712e-25   0.000e+00   -3.637e-24  -5.247e-26  3.646e-24   -5.898e-26  9.029e-29   -2.844e-29  -1.796e-26  5.247e-26   -1.888e-26  
8.05842e+02  -2.981e-24  1.965e-26   -7.393e-28  -2.633e-24  0.000e+00   0.000e+00   0.000e+00   3.008e-24   1.489e-26   -8.284e-25  1.127e-22   -2.099e-120 1.035e-26   3.084e-25   2.816e-25   0.000e+00   -3.008e-24  -4.337e-26  3.015e-24   -5.047e-26  8.218e-29   -2.782e-29  -1.489e-26  4.337e-26   -1.459e-26  
8.65964e+02  -3.051e-24  2.045e-26   -8.293e-28  -2.702e-24  0.000e+00   0.000e+00   0.000e+00   2.467e-24   1.224e-26   -8.891e-25  9.728e-23   -2.151e-120 1.035e-26   3.084e-25   2.924e-25   0.000e+00   -2.467e-24  -3.541e-26  2.471e-24   -4.302e-26  7.446e-29   -2.713e-29  -1.224e-26  3.541e-26   -1.070e-26  
9.30572e+02  -3.114e-24  2.128e-26   -9.317e-28  -2.766e-24  0.000e+00   0.000e+00   0.000e+00   2.011e-24   9.996e-27   -9.447e-25  8.354e-23   -2.198e-120 1.035e-26   3.084e-25   3.034e-25   0.000e+00   -2.011e-24  -2.853e-26  2.014e-24   -3.659e-26  6.717e-29   -2.640e-29  -9.996e-27  2.853e-26   -7.207e-27  
1.00000e+03  -3.168e-24  2.213e-26   -1.050e-27  -2.826e-24  0.000e+00   0.000e+00   0.000e+00   1.634e-24   8.139e-27   -9.954e-25  7.146e-23   -2.239e-120 1.035e-26   3.084e-25   3.147e-25   0.000e+00   -1.634e-24  -2.253e-26  1.636e-24   -3.105e-26  6.035e-29   -2.569e-29  -8.139e-27  2.253e-26   -4.096e-27  
1.07461e+03  -3.213e-24  2.299e-26   -1.190e-27  -2.881e-24  0.000e+00   0.000e+00   0.000e+00   1.329e-24   6.627e-27   -1.041e-24  6.096e-23   -2.276e-120 1.035e-26   3.084e-25   3.263e-25   0.000e+00   -1.329e-24  -1.742e-26  1.329e-24   -2.626e-26  5.400e-29   -2.505e-29  -6.627e-27  1.742e-26   -1.323e-27  
1.15478e+03  -3.248e-24  2.388e-26   -1.359e-27  -2.930e-24  0.000e+00   0.000e+00   0.000e+00   1.084e-24   5.414e-27   -1.082e-24  5.195e-23   -2.308e-120 1.035e-26   3.084e-25   3.381e-25   0.000e+00   -1.084e-24  -1.259e-26  1.083e-24   -2.210e-26  4.812e-29   -2.453e-29  -5.414e-27  1.259e-26   1.170e-27   
1.24094e+03  -3.272e-24  2.479e-26   -1.566e-27  -2.976e-24  0.000e+00   0.000e+00   0.000e+00   8.902e-25   4.453e-27   -1.119e-24  4.425e-23   -2.335e-120 1.035e-26   3.084e-25   3.503e-25   0.000e+00   -8.902e-25  -8.342e-27  8.875e-25   -1.848e-26  4.270e-29   -2.415e-29  -4.453e-27  8.342e-27   3.456e-27   
1.33352e+03  -3.285e-24  2.572e-26   -1.823e-27  -3.016e-24  0.000e+00   0.000e+00   0.000e+00   7.381e-25   3.699e-27   -1.151e-24  3.772e-23   -2.359e-120 1.035e-26   3.084e-25   3.627e-25   0.000e+00   -7.381e-25  -4.355e-27  7.335e-25   -1.531e-26  3.771e-29   -2.392e-29  -3.699e-27  4.355e-27   5.607e-27   
1.43301e+03  -3.286e-24  2.668e-26   -2.145e-27  -3.052e-24  0.000e+00   0.000e+00   0.000e+00   6.194e-25   3.112e-27   -1.180e-24  3.219e-23   -2.378e-120 1.035e-26   3.084e-25   3.756e-25   0.000e+00   -6.194e-25  -7.006e-28  6.128e-25   -1.254e-26  3.314e-29   -2.384e-29  -3.112e-27  7.006e-28   7.693e-27   
1.53993e+03  -3.274e-24  2.767e-26   -2.553e-27  -3.085e-24  0.000e+00   0.000e+00   0.000e+00   5.273e-25   2.660e-27   -1.205e-24  2.753e-23   -2.395e-120 1.035e-26   3.084e-25   3.889e-25   0.000e+00   -5.273e-25  2.842e-27   5.187e-25   -1.013e-26  2.895e-29   -2.390e-29  -2.660e-27  -2.842e-27  9.774e-27   
1.65482e+03  -3.250e-24  2.870e-26   -3.073e-27  -3.114e-24  0.000e+00   0.000e+00   0.000e+00   4.563e-25   2.315e-27   -1.228e-24  2.360e-23   -2.408e-120 1.035e-26   3.084e-25   4.027e-25   0.000e+00   -4.563e-25  6.181e-27   4.454e-25   -8.048e-27  2.512e-29   -2.406e-29  -2.315e-27  -6.181e-27  1.189e-26   
1.77828e+03  -3.213e-24  2.977e-26   -3.739e-27  -3.140e-24  0.000e+00   0.000e+00   0.000e+00   4.017e-25   2.057e-27   -1.247e-24  2.030e-23   -2.419e-120 1.035e-26   3.084e-25   4.171e-25   0.000e+00   -4.017e-25  9.528e-27   3.884e-25   -6.256e-27  2.163e-29   -2.431e-29  -2.057e-27  -9.528e-27  1.406e-26   
1.91095e+03  -3.167e-24  3.089e-26   -4.599e-27  -3.162e-24  0.000e+00   0.000e+00   0.000e+00   3.599e-25   1.867e-27   -1.263e-24  1.754e-23   -2.427e-120 1.035e-26   3.084e-25   4.322e-25   0.000e+00   -3.599e-25  1.266e-26   3.442e-25   -4.759e-27  1.846e-29   -2.460e-29  -1.867e-27  -1.266e-26  1.627e-26   
2.05353e+03  -3.111e-24  3.208e-26   -5.712e-27  -3.182e-24  0.000e+00   0.000e+00   0.000e+00   3.279e-25   1.733e-27   -1.277e-24  1.523e-23   -2.432e-120 1.035e-26   3.084e-25   4.481e-25   0.000e+00   -3.279e-25  1.558e-26   3.099e-25   -3.531e-27  1.560e-29   -2.489e-29  -1.733e-27  -1.558e-26  1.844e-26   
2.20673e+03  -3.048e-24  3.333e-26   -7.163e-27  -3.199e-24  0.000e+00   0.000e+00   0.000e+00   3.033e-25   1.646e-27   -1.288e-24  1.331e-23   -2.436e-120 1.035e-26   3.084e-25   4.650e-25   0.000e+00   -3.033e-25  1.819e-26   2.832e-25   -2.547e-27  1.304e-29   -2.512e-29  -1.646e-27  -1.819e-26  2.049e-26   
2.37137e+03  -2.980e-24  3.397e-26   -9.058e-27  -3.215e-24  0.000e+00   0.000e+00   0.000e+00   2.843e-25   1.598e-27   -1.298e-24  1.172e-23   -2.436e-120 1.035e-26   3.084e-25   4.722e-25   0.000e+00   -2.843e-25  2.032e-26   2.625e-25   -1.787e-27  1.053e-29   -2.525e-29  -1.598e-27  -2.032e-26  2.223e-26   
2.54830e+03  -2.912e-24  3.397e-26   -1.154e-26  -3.228e-24  0.000e+00   0.000e+00   0.000e+00   2.692e-25   1.584e-27   -1.305e-24  1.043e-23   -2.433e-120 1.035e-26   3.084e-25   4.722e-25   0.000e+00   -2.692e-25  2.180e-26   2.463e-25   -1.219e-27  8.242e-30   -2.522e-29  -1.584e-27  -2.180e-26  2.347e-26   
2.73842e+03  -2.845e-24  3.397e-26   -1.478e-26  -3.239e-24  0.000e+00   0.000e+00   0.000e+00   2.569e-25   1.599e-27   -1.311e-24  9.380e-24   -2.429e-120 1.035e-26   3.084e-25   4.722e-25   0.000e+00   -2.569e-25  2.244e-26   2.336e-25   -8.122e-28  6.355e-30   -2.498e-29  -1.599e-27  -2.244e-26  2.400e-26   
2.94273e+03  -2.781e-24  3.397e-26   -1.901e-26  -3.249e-24  0.000e+00   0.000e+00   0.000e+00   2.464e-25   1.641e-27   -1.316e-24  8.544e-24   -2.423e-120 1.035e-26   3.084e-25   4.722e-25   0.000e+00   -2.464e-25  2.214e-26   2.236e-25   -5.327e-28  4.827e-30   -2.450e-29  -1.641e-27  -2.214e-26  2.369e-26   
3.16228e+03  -2.725e-24  3.397e-26   -2.448e-26  -3.258e-24  0.000e+00   0.000e+00   0.000e+00   2.371e-25   1.706e-27   -1.319e-24  7.886e-24   -2.415e-120 1.035e-26   3.084e-25   4.722e-25   0.000e+00   -2.371e-25  2.088e-26   2.158e-25   -3.496e-28  3.615e-30   -2.378e-29  -1.706e-27  -2.088e-26  2.249e-26   
3.39821e+03  -2.676e-24  3.397e-26   -3.148e-26  -3.265e-24  0.000e+00   0.000e+00   0.000e+00   2.290e-25   1.791e-27   -1.321e-24  7.379e-24   -2.406e-120 1.034e-26   3.084e-25   4.722e-25   0.000e+00   -2.290e-25  1.882e-26   2.099e-25   -2.352e-28  2.677e-30   -2.286e-29  -1.791e-27  -1.882e-26  2.055e-26   
3.65174e+03  -2.635e-24  3.397e-26   -4.031e-26  -3.272e-24  0.000e+00   0.000e+00   0.000e+00   2.222e-25   1.892e-27   -1.323e-24  6.996e-24   -2.395e-120 1.034e-26   3.084e-25   4.722e-25   0.000e+00   -2.222e-25  1.626e-26   2.058e-25   -1.673e-28  1.969e-30   -2.185e-29  -1.892e-27  -1.626e-26  1.812e-26   
3.92419e+03  -2.603e-24  3.397e-26   -5.127e-26  -3.277e-24  0.000e+00   0.000e+00   0.000e+00   2.170e-25   2.005e-27   -1.323e-24  6.717e-24   -2.383e-120 1.034e-26   3.084e-25   4.722e-25   0.000e+00   -2.170e-25  1.353e-26   2.033e-25   -1.289e-28  1.449e-30   -2.088e-29  -2.005e-27  -1.353e-26  1.555e-26   
4.21697e+03  -2.578e-24  3.397e-26   -6.459e-26  -3.283e-24  0.000e+00   0.000e+00   0.000e+00   2.136e-25   2.125e-27   -1.323e-24  6.521e-24   -2.370e-120 1.034e-26   3.084e-25   4.722e-25   0.000e+00   -2.136e-25  1.099e-26   2.025e-25   -1.084e-28  1.078e-30   -2.013e-29  -2.125e-27  -1.099e-26  1.316e-26   
4.53158e+03  -2.560e-24  3.397e-26   -8.038e-26  -3.288e-24  0.000e+00   0.000e+00   0.000e+00   2.120e-25   2.247e-27   -1.322e-24  6.393e-24   -2.356e-120 1.034e-26   3.084e-25   4.722e-25   0.000e+00   -2.120e-25  8.842e-27   2.031e-25   -9.835e-29  8.205e-31   -1.980e-29  -2.247e-27  -8.842e-27  1.116e-26   
4.86968e+03  -2.548e-24  3.397e-26   -9.864e-26  -3.292e-24  0.000e+00   0.000e+00   0.000e+00   2.119e-25   2.365e-27   -1.321e-24  6.315e-24   -2.340e-120 1.034e-26   3.084e-25   4.722e-25   0.000e+00   -2.119e-25  7.198e-27   2.047e-25   -9.404e-29  6.474e-31   -2.004e-29  -2.365e-27  -7.198e-27  9.659e-27   
5.23299e+03  -2.539e-24  3.397e-26   -1.192e-25  -3.297e-24  0.000e+00   0.000e+00   0.000e+00   2.131e-25   2.471e-27   -1.320e-24  6.273e-24   -2.324e-120 1.034e-26   3.084e-25   4.723e-25   0.000e+00   -2.131e-25  6.027e-27   2.070e-25   -9.266e-29  5.333e-31   -2.089e-29  -2.471e-27  -6.027e-27  8.611e-27   
5.62341e+03  -2.533e-24  3.397e-26   -1.415e-25  -3.302e-24  0.000e+00   0.000e+00   0.000e+00   2.149e-25   2.563e-27   -1.318e-24  6.254e-24   -2.306e-120 1.034e-26   3.084e-25   4.723e-25   0.000e+00   -2.149e-25  5.232e-27   2.097e-25   -9.261e-29  4.585e-31   -2.233e-29  -2.563e-27  -5.232e-27  7.918e-27   
6.04296e+03  -2.528e-24  3.397e-26   -1.654e-25  -3.306e-24  0.000e+00   0.000e+00   0.000e+00   2.171e-25   2.640e-27   -1.316e-24  6.248e-24   -2.287e-120 1.034e-26   3.084e-25   4.723e-25   0.000e+00   -2.171e-25  4.696e-27   2.124e-25   -9.304e-29  4.083e-31   -2.421e-29  -2.640e-27  -4.696e-27  7.466e-27   
6.49382e+03  -2.524e-24  3.397e-26   -1.902e-25  -3.311e-24  0.000e+00   0.000e+00   0.000e+00   2.194e-25   2.705e-27   -1.314e-24  6.247e-24   -2.267e-120 1.034e-26   3.084e-25   4.723e-25   0.000e+00   -2.194e-25  4.320e-27   2.151e-25   -9.355e-29  3.726e-31   -2.640e-29  -2.705e-27  -4.320e-27  7.160e-27   
6.97831e+03  -2.521e-24  3.397e-26   -2.158e-25  -3.316e-24  0.000e+00   0.000e+00   0.000e+00   2.218e-25   2.762e-27   -1.311e-24  6.248e-24   -2.246e-120 1.034e-26   3.084e-25   4.723e-25   0.000e+00   -2.218e-25  4.035e-27   2.178e-25   -9.402e-29  3.456e-31   -2.877e-29  -2.762e-27  -4.035e-27  6.935e-27   
7.49894e+03  -2.518e-24  3.397e-26   -2.419e-25  -3.321e-24  0.000e+00   0.000e+00   0.000e+00   2.241e-25   2.814e-27   -1.308e-24  6.246e-24   -2.224e-120 1.034e-26   3.084e-25   4.723e-25   0.000e+00   -2.241e-25  3.802e-27   2.203e-25   -9.442e-29  3.237e-31   -3.126e-29  -2.814e-27  -3.802e-27  6.759e-27   
