! na - neutral gas cooling by atomic emission, cooling < 0., [erg cm-3 s-1]
! nh2 - neutral gas cooling by H2 emission
! nh2o - neutral gas cooling by H2O emission
! nco - neutral gas cooling by CO emission
! noh - neutral gas cooling by OH emission
! nnh3 - neutral gas cooling by p- and o-NH3 emission
! nch3oh - neutral gas cooling by CH3OH (A-,E-) emission
! ni - neutral gas heating by neutral-ion collisions
! ne - neutral gas heating by neutral-electron collisions
! nd - neutral gas heating by neutral-dust collisions
! nch - neutral gas heating by chemical reactions
! nh2-h - neutral gas cooling by H2-H dissociation (is included in previous parameter nch)
! ph - heating by photoeffect on dust grains
! cr - heating by cosmic rays
! rlh2 - radiative energy loss by H2 molecule
! ih2 - ion fluid cooling via excitation of H2 via ion-H2 collisions
! in - ion gas component heating by neutral-ion collisions
! ie - ion gas component heating by ion-electron collisions
! ich - ion gas component heating by chemical reactions
! ea - electron component cooling by atomic emission
! eh2 - electron component cooling by H2 emission
! eh2o - electron component cooling by H2O emission
! en - electron component heating by neutral-electron collisions
! ei - electron component heating by ion-electron collisions
! ech - electron component heating by chemical reactions
!1           2           3           4           5           6           7           8           9           10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          
!t(yr)/z(cm) na          nh2         nh2o        nco         noh         nnh3        nch3oh      ni          ne          nd          nch         nh2-h       ph          cr          rlh2        ih2         in          ie          ich         ea          eh2         eh2o        en          ei          ech         
2.37137e+00  -4.690e-25  1.192e-27   -2.992e-29  -1.755e-26  0.000e+00   0.000e+00   0.000e+00   9.437e-24   4.144e-26   1.388e-24   2.272e-22   -4.513e-123 1.034e-26   3.084e-25   1.022e-25   0.000e+00   -9.437e-24  1.067e-25   8.696e-24   -1.176e-25  2.564e-28   -1.374e-29  -4.144e-26  -1.067e-25  -3.688e-25  
2.54830e+00  -4.803e-25  1.274e-27   -2.920e-29  -1.976e-26  0.000e+00   0.000e+00   0.000e+00   9.840e-24   4.321e-26   1.388e-24   2.335e-22   -4.920e-123 1.034e-26   3.084e-25   1.023e-25   0.000e+00   -9.840e-24  1.012e-25   9.104e-24   -1.211e-25  2.573e-28   -1.341e-29  -4.321e-26  -1.012e-25  -3.697e-25  
2.73842e+00  -4.919e-25  1.361e-27   -2.861e-29  -2.227e-26  0.000e+00   0.000e+00   0.000e+00   1.026e-23   4.504e-26   1.387e-24   2.401e-22   -5.367e-123 1.034e-26   3.084e-25   1.024e-25   0.000e+00   -1.026e-23  9.542e-26   9.527e-24   -1.247e-25  2.583e-28   -1.313e-29  -4.504e-26  -9.542e-26  -3.705e-25  
2.94273e+00  -5.029e-25  1.453e-27   -2.814e-29  -2.510e-26  0.000e+00   0.000e+00   0.000e+00   1.069e-23   4.694e-26   1.387e-24   2.469e-22   -5.857e-123 1.034e-26   3.084e-25   1.024e-25   0.000e+00   -1.069e-23  8.946e-26   9.964e-24   -1.284e-25  2.593e-28   -1.290e-29  -4.694e-26  -8.946e-26  -3.713e-25  
3.16228e+00  -5.143e-25  1.550e-27   -2.777e-29  -2.830e-26  0.000e+00   0.000e+00   0.000e+00   1.113e-23   4.890e-26   1.386e-24   2.539e-22   -6.396e-123 1.034e-26   3.084e-25   1.025e-25   0.000e+00   -1.113e-23  8.329e-26   1.042e-23   -1.322e-25  2.604e-28   -1.272e-29  -4.890e-26  -8.329e-26  -3.721e-25  
3.39821e+00  -5.249e-25  1.653e-27   -2.748e-29  -3.190e-26  0.000e+00   0.000e+00   0.000e+00   1.159e-23   5.092e-26   1.386e-24   2.612e-22   -6.987e-123 1.034e-26   3.084e-25   1.026e-25   0.000e+00   -1.159e-23  7.692e-26   1.088e-23   -1.362e-25  2.615e-28   -1.258e-29  -5.092e-26  -7.692e-26  -3.730e-25  
3.65174e+00  -5.359e-25  1.761e-27   -2.728e-29  -3.595e-26  0.000e+00   0.000e+00   0.000e+00   1.206e-23   5.298e-26   1.385e-24   2.686e-22   -7.637e-123 1.034e-26   3.084e-25   1.027e-25   0.000e+00   -1.206e-23  7.036e-26   1.136e-23   -1.402e-25  2.627e-28   -1.247e-29  -5.298e-26  -7.036e-26  -3.737e-25  
3.92419e+00  -5.463e-25  1.876e-27   -2.713e-29  -4.050e-26  0.000e+00   0.000e+00   0.000e+00   1.254e-23   5.509e-26   1.385e-24   2.763e-22   -8.350e-123 1.034e-26   3.084e-25   1.028e-25   0.000e+00   -1.254e-23  6.362e-26   1.184e-23   -1.444e-25  2.639e-28   -1.239e-29  -5.509e-26  -6.362e-26  -3.745e-25  
4.21697e+00  -5.570e-25  1.995e-27   -2.703e-29  -4.560e-26  0.000e+00   0.000e+00   0.000e+00   1.303e-23   5.724e-26   1.384e-24   2.841e-22   -9.133e-123 1.034e-26   3.084e-25   1.029e-25   0.000e+00   -1.303e-23  5.672e-26   1.234e-23   -1.486e-25  2.652e-28   -1.233e-29  -5.724e-26  -5.672e-26  -3.752e-25  
4.53158e+00  -5.671e-25  2.121e-27   -2.698e-29  -5.129e-26  0.000e+00   0.000e+00   0.000e+00   1.353e-23   5.942e-26   1.383e-24   2.921e-22   -9.992e-123 1.034e-26   3.084e-25   1.030e-25   0.000e+00   -1.353e-23  4.968e-26   1.284e-23   -1.529e-25  2.665e-28   -1.229e-29  -5.942e-26  -4.968e-26  -3.759e-25  
4.86968e+00  -5.776e-25  2.253e-27   -2.695e-29  -5.763e-26  0.000e+00   0.000e+00   0.000e+00   1.402e-23   6.161e-26   1.382e-24   3.002e-22   -1.094e-122 1.034e-26   3.084e-25   1.031e-25   0.000e+00   -1.402e-23  4.251e-26   1.334e-23   -1.572e-25  2.679e-28   -1.226e-29  -6.161e-26  -4.251e-26  -3.765e-25  
5.23299e+00  -5.877e-25  2.390e-27   -2.695e-29  -6.467e-26  0.000e+00   0.000e+00   0.000e+00   1.453e-23   6.382e-26   1.381e-24   3.084e-22   -1.197e-122 1.034e-26   3.084e-25   1.032e-25   0.000e+00   -1.453e-23  3.524e-26   1.385e-23   -1.616e-25  2.693e-28   -1.224e-29  -6.382e-26  -3.524e-26  -3.770e-25  
5.62341e+00  -5.981e-25  2.534e-27   -2.697e-29  -7.247e-26  0.000e+00   0.000e+00   0.000e+00   1.503e-23   6.604e-26   1.380e-24   3.166e-22   -1.311e-122 1.034e-26   3.084e-25   1.034e-25   0.000e+00   -1.503e-23  2.788e-26   1.436e-23   -1.659e-25  2.708e-28   -1.223e-29  -6.604e-26  -2.788e-26  -3.774e-25  
6.04296e+00  -6.082e-25  2.683e-27   -2.700e-29  -8.106e-26  0.000e+00   0.000e+00   0.000e+00   1.553e-23   6.824e-26   1.379e-24   3.250e-22   -1.435e-122 1.034e-26   3.084e-25   1.035e-25   0.000e+00   -1.553e-23  2.047e-26   1.487e-23   -1.703e-25  2.723e-28   -1.222e-29  -6.824e-26  -2.047e-26  -3.777e-25  
6.49382e+00  -6.186e-25  2.838e-27   -2.704e-29  -9.051e-26  0.000e+00   0.000e+00   0.000e+00   1.602e-23   7.042e-26   1.378e-24   3.333e-22   -1.571e-122 1.034e-26   3.084e-25   1.036e-25   0.000e+00   -1.602e-23  1.303e-26   1.537e-23   -1.746e-25  2.738e-28   -1.221e-29  -7.042e-26  -1.303e-26  -3.779e-25  
6.97831e+00  -6.287e-25  2.999e-27   -2.709e-29  -1.008e-25  0.000e+00   0.000e+00   0.000e+00   1.651e-23   7.257e-26   1.377e-24   3.416e-22   -1.721e-122 1.034e-26   3.084e-25   1.038e-25   0.000e+00   -1.651e-23  5.576e-27   1.587e-23   -1.788e-25  2.754e-28   -1.221e-29  -7.257e-26  -5.576e-27  -3.780e-25  
7.49894e+00  -6.393e-25  3.164e-27   -2.715e-29  -1.121e-25  0.000e+00   0.000e+00   0.000e+00   1.699e-23   7.468e-26   1.375e-24   3.499e-22   -1.884e-122 1.034e-26   3.084e-25   1.039e-25   0.000e+00   -1.699e-23  -1.853e-27  1.636e-23   -1.830e-25  2.770e-28   -1.221e-29  -7.468e-26  1.853e-27   -3.779e-25  
8.05842e+00  -6.495e-25  3.335e-27   -2.721e-29  -1.243e-25  0.000e+00   0.000e+00   0.000e+00   1.745e-23   7.674e-26   1.374e-24   3.581e-22   -2.063e-122 1.034e-26   3.084e-25   1.041e-25   0.000e+00   -1.745e-23  -9.235e-27  1.683e-23   -1.871e-25  2.786e-28   -1.221e-29  -7.674e-26  9.235e-27   -3.776e-25  
8.65964e+00  -6.603e-25  3.509e-27   -2.728e-29  -1.374e-25  0.000e+00   0.000e+00   0.000e+00   1.790e-23   7.873e-26   1.372e-24   3.662e-22   -2.258e-122 1.034e-26   3.084e-25   1.042e-25   0.000e+00   -1.790e-23  -1.655e-26  1.729e-23   -1.911e-25  2.801e-28   -1.221e-29  -7.873e-26  1.655e-26   -3.772e-25  
9.30572e+00  -6.707e-25  3.688e-27   -2.736e-29  -1.515e-25  0.000e+00   0.000e+00   0.000e+00   1.834e-23   8.065e-26   1.370e-24   3.741e-22   -2.471e-122 1.034e-26   3.084e-25   1.044e-25   0.000e+00   -1.834e-23  -2.376e-26  1.773e-23   -1.950e-25  2.817e-28   -1.220e-29  -8.065e-26  2.376e-26   -3.766e-25  
1.00000e+01  -6.818e-25  3.870e-27   -2.744e-29  -1.664e-25  0.000e+00   0.000e+00   0.000e+00   1.875e-23   8.248e-26   1.368e-24   3.819e-22   -2.704e-122 1.034e-26   3.084e-25   1.046e-25   0.000e+00   -1.875e-23  -3.086e-26  1.816e-23   -1.987e-25  2.833e-28   -1.220e-29  -8.248e-26  3.086e-26   -3.757e-25  
1.07461e+01  -6.922e-25  4.054e-27   -2.753e-29  -1.822e-25  0.000e+00   0.000e+00   0.000e+00   1.914e-23   8.422e-26   1.365e-24   3.894e-22   -2.957e-122 1.034e-26   3.084e-25   1.048e-25   0.000e+00   -1.914e-23  -3.782e-26  1.856e-23   -2.022e-25  2.848e-28   -1.220e-29  -8.422e-26  3.782e-26   -3.747e-25  
1.15478e+01  -7.034e-25  4.239e-27   -2.763e-29  -1.987e-25  0.000e+00   0.000e+00   0.000e+00   1.951e-23   8.586e-26   1.363e-24   3.967e-22   -3.233e-122 1.034e-26   3.084e-25   1.050e-25   0.000e+00   -1.951e-23  -4.462e-26  1.894e-23   -2.056e-25  2.863e-28   -1.220e-29  -8.586e-26  4.462e-26   -3.734e-25  
1.24094e+01  -7.138e-25  4.426e-27   -2.773e-29  -2.161e-25  0.000e+00   0.000e+00   0.000e+00   1.986e-23   8.740e-26   1.360e-24   4.038e-22   -3.533e-122 1.034e-26   3.084e-25   1.052e-25   0.000e+00   -1.986e-23  -5.126e-26  1.929e-23   -2.087e-25  2.877e-28   -1.220e-29  -8.740e-26  5.126e-26   -3.718e-25  
