! p1 - total abundance of grain mantle molecules, [molecules/H]
! p2 - abundance of hydrocarbon molecules in ice mantles, CnHm, n >=2,  [molecules/H]
! p3 - parameter of H2 formation on grains (reaction *H+*H), rate = a*n_H_tot*n_H, a [cm3 s-1]
! p4 - electron concentration, [cm-3]
! p5 - ion concentration (without PAHs and small grains), [cm-3]
! p6 - total electric charge of grains, [cm-3]
!1             2             3             4             5             6             7             8             9             10            
!time(yrs)     T_n           T_i           T_e           p1            p2            p3            p4            p5            p6            
1.0000000e+00  1.00020e+01   1.00059e+01   1.00059e+01   1.96266e-09   8.88235e-16   1.36482e-21   2.78989e+00   2.78989e+00   -2.21339e-07  
1.0746078e+00  1.00021e+01   1.00062e+01   1.00062e+01   2.10909e-09   1.09624e-15   1.50636e-21   2.78898e+00   2.78898e+00   -2.21339e-07  
1.1547820e+00  1.00023e+01   1.00066e+01   1.00066e+01   2.26643e-09   1.35274e-15   1.67286e-21   2.78800e+00   2.78800e+00   -2.21340e-07  
1.2409378e+00  1.00025e+01   1.00070e+01   1.00070e+01   2.43550e-09   1.66888e-15   1.87108e-21   2.78695e+00   2.78695e+00   -2.21340e-07  
1.3335214e+00  1.00028e+01   1.00074e+01   1.00074e+01   2.61718e-09   2.05831e-15   2.10977e-21   2.78581e+00   2.78581e+00   -2.21341e-07  
1.4330126e+00  1.00030e+01   1.00078e+01   1.00078e+01   2.81240e-09   2.53771e-15   2.40024e-21   2.78459e+00   2.78459e+00   -2.21341e-07  
1.5399265e+00  1.00033e+01   1.00083e+01   1.00083e+01   3.02217e-09   3.12748e-15   2.75687e-21   2.78328e+00   2.78328e+00   -2.21342e-07  
1.6548171e+00  1.00036e+01   1.00088e+01   1.00088e+01   3.24755e-09   3.85250e-15   3.19776e-21   2.78187e+00   2.78187e+00   -2.21343e-07  
1.7782794e+00  1.00039e+01   1.00094e+01   1.00094e+01   3.48971e-09   4.74312e-15   3.74513e-21   2.78035e+00   2.78035e+00   -2.21344e-07  
1.9109530e+00  1.00043e+01   1.00100e+01   1.00100e+01   3.74987e-09   5.83626e-15   4.42557e-21   2.77872e+00   2.77872e+00   -2.21344e-07  
2.0535250e+00  1.00047e+01   1.00106e+01   1.00106e+01   4.02937e-09   7.17681e-15   5.26971e-21   2.77696e+00   2.77696e+00   -2.21345e-07  
2.2067341e+00  1.00052e+01   1.00113e+01   1.00113e+01   4.32962e-09   8.81925e-15   6.31099e-21   2.77507e+00   2.77507e+00   -2.21346e-07  
2.3713737e+00  1.00056e+01   1.00121e+01   1.00121e+01   4.65214e-09   1.08296e-14   7.58352e-21   2.77304e+00   2.77304e+00   -2.21347e-07  
2.5482967e+00  1.00062e+01   1.00129e+01   1.00129e+01   4.99855e-09   1.32877e-14   9.11879e-21   2.77085e+00   2.77085e+00   -2.21349e-07  
