!time         log(Av)       log(n)        log(Tg)       log(Td)       
!(yr)         log(mag)      log(cm-3)     log(K)        log(K)        
2.37137e+02   1.00000e+00   4.30103e+00   1.05817e+00   9.67850e-01   
2.54830e+02   1.00000e+00   4.30103e+00   1.06187e+00   9.67852e-01   
2.73842e+02   1.00000e+00   4.30103e+00   1.06573e+00   9.67854e-01   
2.94273e+02   1.00000e+00   4.30103e+00   1.06974e+00   9.67855e-01   
3.16228e+02   1.00000e+00   4.30103e+00   1.07389e+00   9.67857e-01   
3.39821e+02   1.00000e+00   4.30103e+00   1.07816e+00   9.67859e-01   
3.65174e+02   1.00000e+00   4.30103e+00   1.08254e+00   9.67861e-01   
3.92419e+02   1.00000e+00   4.30103e+00   1.08700e+00   9.67863e-01   
4.21697e+02   1.00000e+00   4.30103e+00   1.09153e+00   9.67865e-01   
4.53158e+02   1.00000e+00   4.30103e+00   1.09608e+00   9.67868e-01   
4.86968e+02   1.00000e+00   4.30103e+00   1.10064e+00   9.67870e-01   
5.23299e+02   1.00000e+00   4.30103e+00   1.10515e+00   9.67872e-01   
5.62341e+02   1.00000e+00   4.30103e+00   1.10959e+00   9.67874e-01   
6.04296e+02   1.00000e+00   4.30103e+00   1.11392e+00   9.67876e-01   
6.49382e+02   1.00000e+00   4.30103e+00   1.11809e+00   9.67879e-01   
6.97831e+02   1.00000e+00   4.30103e+00   1.12208e+00   9.67881e-01   
7.49894e+02   1.00000e+00   4.30103e+00   1.12585e+00   9.67883e-01   
8.05842e+02   1.00000e+00   4.30103e+00   1.12938e+00   9.67885e-01   
8.65964e+02   1.00000e+00   4.30103e+00   1.13267e+00   9.67887e-01   
9.30572e+02   1.00000e+00   4.30103e+00   1.13569e+00   9.67888e-01   
1.00000e+03   1.00000e+00   4.30103e+00   1.13847e+00   9.67890e-01   
1.07461e+03   1.00000e+00   4.30103e+00   1.14099e+00   9.67891e-01   
1.15478e+03   1.00000e+00   4.30103e+00   1.14328e+00   9.67893e-01   
1.24094e+03   1.00000e+00   4.30103e+00   1.14535e+00   9.67894e-01   
1.33352e+03   1.00000e+00   4.30103e+00   1.14722e+00   9.67895e-01   
1.43301e+03   1.00000e+00   4.30103e+00   1.14890e+00   9.67896e-01   
1.53993e+03   1.00000e+00   4.30103e+00   1.15041e+00   9.67897e-01   
1.65482e+03   1.00000e+00   4.30103e+00   1.15176e+00   9.67897e-01   
1.77828e+03   1.00000e+00   4.30103e+00   1.15298e+00   9.67898e-01   
1.91095e+03   1.00000e+00   4.30103e+00   1.15406e+00   9.67899e-01   
2.05353e+03   1.00000e+00   4.30103e+00   1.15503e+00   9.67899e-01   
2.20673e+03   1.00000e+00   4.30103e+00   1.15590e+00   9.67900e-01   
