! na - neutral gas cooling by atomic emission, cooling < 0., [erg cm-3 s-1]
! nh2 - neutral gas cooling by H2 emission
! nh2o - neutral gas cooling by H2O emission
! nco - neutral gas cooling by CO emission
! noh - neutral gas cooling by OH emission
! nnh3 - neutral gas cooling by p- and o-NH3 emission
! nch3oh - neutral gas cooling by CH3OH (A-,E-) emission
! ni - neutral gas heating by neutral-ion collisions
! ne - neutral gas heating by neutral-electron collisions
! nd - neutral gas heating by neutral-dust collisions
! nch - neutral gas heating by chemical reactions
! nh2-h - neutral gas cooling by H2-H dissociation (is included in previous parameter nch)
! ph - heating by photoeffect on dust grains
! cr - heating by cosmic rays
! rlh2 - radiative energy loss by H2 molecule (total and only within state v = 0)
! ih2 - ion fluid cooling via excitation of H2 via ion-H2 collisions
! in - ion gas component heating by neutral-ion collisions
! ie - ion gas component heating by ion-electron collisions
! ich - ion gas component heating by chemical reactions
! ea - electron component cooling by atomic emission
! eh2 - electron component cooling by H2 emission
! eh2o - electron component cooling by H2O emission
! en - electron component heating by neutral-electron collisions
! ei - electron component heating by ion-electron collisions
! ech - electron component heating by chemical reactions
!1           2           3           4           5           6           7           8           9           10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          
!t(yr)/z(cm) na          nh2         nh2o        nco         noh         nnh3        nch3oh      ni          ne          nd          nch         nh2-h       ph          cr          rlh2        rlh2v0      ih2         in          ie          ich         ea          eh2         eh2o        en          ei          ech         
1.00000e+00  -2.730e-25  5.161e-26   -5.971e-29  -4.829e-27  0.000e+00   0.000e+00   0.000e+00   1.204e-23   5.285e-26   -2.785e-26  2.177e-22   -1.105e-120 1.034e-24   3.084e-23   1.014e-23   3.852e-26   0.000e+00   -1.204e-23  8.463e-26   1.135e-23   -1.409e-25  2.479e-26   -2.762e-29  -5.285e-26  -8.463e-26  -3.501e-25  
1.07461e+00  -2.846e-25  5.546e-26   -5.770e-29  -5.334e-27  0.000e+00   0.000e+00   0.000e+00   1.226e-23   5.383e-26   -2.802e-26  2.212e-22   -1.193e-120 1.034e-24   3.084e-23   1.015e-23   4.111e-26   0.000e+00   -1.226e-23  8.158e-26   1.157e-23   -1.429e-25  2.484e-26   -2.668e-29  -5.383e-26  -8.158e-26  -3.506e-25  
1.15478e+00  -2.967e-25  5.957e-26   -5.577e-29  -5.906e-27  0.000e+00   0.000e+00   0.000e+00   1.250e-23   5.488e-26   -2.820e-26  2.249e-22   -1.290e-120 1.034e-24   3.084e-23   1.015e-23   4.385e-26   0.000e+00   -1.250e-23  7.836e-26   1.182e-23   -1.449e-25  2.489e-26   -2.578e-29  -5.488e-26  -7.836e-26  -3.512e-25  
1.24094e+00  -3.085e-25  6.396e-26   -5.393e-29  -6.555e-27  0.000e+00   0.000e+00   0.000e+00   1.275e-23   5.599e-26   -2.840e-26  2.288e-22   -1.394e-120 1.034e-24   3.084e-23   1.015e-23   4.673e-26   0.000e+00   -1.275e-23  7.494e-26   1.207e-23   -1.471e-25  2.494e-26   -2.493e-29  -5.599e-26  -7.494e-26  -3.518e-25  
1.33352e+00  -3.208e-25  6.865e-26   -5.220e-29  -7.291e-27  0.000e+00   0.000e+00   0.000e+00   1.302e-23   5.716e-26   -2.862e-26  2.329e-22   -1.508e-120 1.034e-24   3.084e-23   1.016e-23   4.976e-26   0.000e+00   -1.302e-23  7.133e-26   1.234e-23   -1.494e-25  2.499e-26   -2.412e-29  -5.716e-26  -7.133e-26  -3.525e-25  
1.43301e+00  -3.328e-25  7.365e-26   -5.058e-29  -8.126e-27  0.000e+00   0.000e+00   0.000e+00   1.330e-23   5.840e-26   -2.886e-26  2.373e-22   -1.632e-120 1.034e-24   3.084e-23   1.016e-23   5.294e-26   0.000e+00   -1.330e-23  6.752e-26   1.263e-23   -1.519e-25  2.505e-26   -2.336e-29  -5.840e-26  -6.752e-26  -3.532e-25  
1.53993e+00  -3.451e-25  7.899e-26   -4.908e-29  -9.074e-27  0.000e+00   0.000e+00   0.000e+00   1.360e-23   5.971e-26   -2.913e-26  2.419e-22   -1.767e-120 1.034e-24   3.084e-23   1.017e-23   5.629e-26   0.000e+00   -1.360e-23  6.350e-26   1.293e-23   -1.545e-25  2.512e-26   -2.266e-29  -5.971e-26  -6.350e-26  -3.538e-25  
1.65482e+00  -3.571e-25  8.467e-26   -4.771e-29  -1.015e-26  0.000e+00   0.000e+00   0.000e+00   1.391e-23   6.109e-26   -2.941e-26  2.467e-22   -1.913e-120 1.034e-24   3.084e-23   1.017e-23   5.981e-26   0.000e+00   -1.391e-23  5.926e-26   1.325e-23   -1.572e-25  2.518e-26   -2.201e-29  -6.109e-26  -5.926e-26  -3.546e-25  
1.77828e+00  -3.694e-25  9.072e-26   -4.647e-29  -1.137e-26  0.000e+00   0.000e+00   0.000e+00   1.424e-23   6.254e-26   -2.973e-26  2.518e-22   -2.073e-120 1.034e-24   3.084e-23   1.018e-23   6.349e-26   0.000e+00   -1.424e-23  5.481e-26   1.358e-23   -1.600e-25  2.525e-26   -2.143e-29  -6.254e-26  -5.481e-26  -3.553e-25  
1.91095e+00  -3.812e-25  9.716e-26   -4.537e-29  -1.275e-26  0.000e+00   0.000e+00   0.000e+00   1.459e-23   6.406e-26   -3.007e-26  2.571e-22   -2.247e-120 1.034e-24   3.084e-23   1.018e-23   6.735e-26   0.000e+00   -1.459e-23  5.013e-26   1.393e-23   -1.630e-25  2.533e-26   -2.091e-29  -6.406e-26  -5.013e-26  -3.561e-25  
