!time         log(Av)       log(n)        log(Tg)       log(Td)       
!(yr)         log(mag)      log(cm-3)     log(K)        log(K)        
1.00000e+00   1.00000e+00   4.30103e+00   1.00013e+00   9.98322e-01   
1.07461e+00   1.00000e+00   4.30103e+00   1.00014e+00   9.98322e-01   
1.15478e+00   1.00000e+00   4.30103e+00   1.00015e+00   9.98322e-01   
1.24094e+00   1.00000e+00   4.30103e+00   1.00017e+00   9.98322e-01   
1.33352e+00   1.00000e+00   4.30103e+00   1.00018e+00   9.98322e-01   
1.43301e+00   1.00000e+00   4.30103e+00   1.00020e+00   9.98322e-01   
1.53993e+00   1.00000e+00   4.30103e+00   1.00021e+00   9.98322e-01   
1.65482e+00   1.00000e+00   4.30103e+00   1.00023e+00   9.98322e-01   
1.77828e+00   1.00000e+00   4.30103e+00   1.00025e+00   9.98322e-01   
1.91095e+00   1.00000e+00   4.30103e+00   1.00028e+00   9.98322e-01   
2.05353e+00   1.00000e+00   4.30103e+00   1.00030e+00   9.98322e-01   
2.20673e+00   1.00000e+00   4.30103e+00   1.00033e+00   9.98322e-01   
2.37137e+00   1.00000e+00   4.30103e+00   1.00036e+00   9.98322e-01   
2.54830e+00   1.00000e+00   4.30103e+00   1.00039e+00   9.98322e-01   
2.73842e+00   1.00000e+00   4.30103e+00   1.00042e+00   9.98322e-01   
2.94273e+00   1.00000e+00   4.30103e+00   1.00046e+00   9.98322e-01   
3.16228e+00   1.00000e+00   4.30103e+00   1.00050e+00   9.98322e-01   
3.39821e+00   1.00000e+00   4.30103e+00   1.00055e+00   9.98322e-01   
3.65174e+00   1.00000e+00   4.30103e+00   1.00060e+00   9.98322e-01   
3.92419e+00   1.00000e+00   4.30103e+00   1.00066e+00   9.98322e-01   
4.21697e+00   1.00000e+00   4.30103e+00   1.00072e+00   9.98322e-01   
4.53158e+00   1.00000e+00   4.30103e+00   1.00079e+00   9.98322e-01   
4.86968e+00   1.00000e+00   4.30103e+00   1.00086e+00   9.98322e-01   
5.23299e+00   1.00000e+00   4.30103e+00   1.00095e+00   9.98322e-01   
5.62341e+00   1.00000e+00   4.30103e+00   1.00104e+00   9.98322e-01   
6.04296e+00   1.00000e+00   4.30103e+00   1.00113e+00   9.98322e-01   
6.49382e+00   1.00000e+00   4.30103e+00   1.00124e+00   9.98322e-01   
6.97831e+00   1.00000e+00   4.30103e+00   1.00136e+00   9.98322e-01   
7.49894e+00   1.00000e+00   4.30103e+00   1.00149e+00   9.98322e-01   
8.05842e+00   1.00000e+00   4.30103e+00   1.00163e+00   9.98322e-01   
8.65964e+00   1.00000e+00   4.30103e+00   1.00179e+00   9.98322e-01   
9.30572e+00   1.00000e+00   4.30103e+00   1.00196e+00   9.98322e-01   
1.00000e+01   1.00000e+00   4.30103e+00   1.00215e+00   9.98322e-01   
1.07461e+01   1.00000e+00   4.30103e+00   1.00235e+00   9.98323e-01   
1.15478e+01   1.00000e+00   4.30103e+00   1.00257e+00   9.98323e-01   
1.24094e+01   1.00000e+00   4.30103e+00   1.00282e+00   9.98323e-01   
1.33352e+01   1.00000e+00   4.30103e+00   1.00308e+00   9.98323e-01   
1.43301e+01   1.00000e+00   4.30103e+00   1.00337e+00   9.98323e-01   
1.53993e+01   1.00000e+00   4.30103e+00   1.00368e+00   9.98323e-01   
1.65482e+01   1.00000e+00   4.30103e+00   1.00402e+00   9.98323e-01   
1.77828e+01   1.00000e+00   4.30103e+00   1.00439e+00   9.98323e-01   
1.91095e+01   1.00000e+00   4.30103e+00   1.00480e+00   9.98324e-01   
2.05353e+01   1.00000e+00   4.30103e+00   1.00523e+00   9.98324e-01   
2.20673e+01   1.00000e+00   4.30103e+00   1.00570e+00   9.98324e-01   
2.37137e+01   1.00000e+00   4.30103e+00   1.00621e+00   9.98324e-01   
2.54830e+01   1.00000e+00   4.30103e+00   1.00677e+00   9.98324e-01   
2.73842e+01   1.00000e+00   4.30103e+00   1.00737e+00   9.98325e-01   
2.94273e+01   1.00000e+00   4.30103e+00   1.00801e+00   9.98325e-01   
3.16228e+01   1.00000e+00   4.30103e+00   1.00871e+00   9.98325e-01   
3.39821e+01   1.00000e+00   4.30103e+00   1.00946e+00   9.98326e-01   
3.65174e+01   1.00000e+00   4.30103e+00   1.01027e+00   9.98326e-01   
3.92419e+01   1.00000e+00   4.30103e+00   1.01114e+00   9.98326e-01   
4.21697e+01   1.00000e+00   4.30103e+00   1.01208e+00   9.98327e-01   
4.53158e+01   1.00000e+00   4.30103e+00   1.01309e+00   9.98327e-01   
4.86968e+01   1.00000e+00   4.30103e+00   1.01418e+00   9.98328e-01   
5.23299e+01   1.00000e+00   4.30103e+00   1.01534e+00   9.98328e-01   
5.62341e+01   1.00000e+00   4.30103e+00   1.01660e+00   9.98329e-01   
6.04296e+01   1.00000e+00   4.30103e+00   1.01794e+00   9.98329e-01   
6.49382e+01   1.00000e+00   4.30103e+00   1.01937e+00   9.98330e-01   
6.97831e+01   1.00000e+00   4.30103e+00   1.02091e+00   9.98331e-01   
7.49894e+01   1.00000e+00   4.30103e+00   1.02255e+00   9.98332e-01   
8.05842e+01   1.00000e+00   4.30103e+00   1.02431e+00   9.98332e-01   
8.65964e+01   1.00000e+00   4.30103e+00   1.02618e+00   9.98333e-01   
9.30572e+01   1.00000e+00   4.30103e+00   1.02819e+00   9.98334e-01   
1.00000e+02   1.00000e+00   4.30103e+00   1.03032e+00   9.98335e-01   
1.07461e+02   1.00000e+00   4.30103e+00   1.03259e+00   9.98336e-01   
1.15478e+02   1.00000e+00   4.30103e+00   1.03501e+00   9.98338e-01   
1.24094e+02   1.00000e+00   4.30103e+00   1.03758e+00   9.98339e-01   
1.33352e+02   1.00000e+00   4.30103e+00   1.04032e+00   9.98340e-01   
1.43301e+02   1.00000e+00   4.30103e+00   1.04322e+00   9.98342e-01   
1.53993e+02   1.00000e+00   4.30103e+00   1.04629e+00   9.98343e-01   
1.65482e+02   1.00000e+00   4.30103e+00   1.04954e+00   9.98345e-01   
1.77828e+02   1.00000e+00   4.30103e+00   1.05297e+00   9.98347e-01   
1.91095e+02   1.00000e+00   4.30103e+00   1.05660e+00   9.98349e-01   
2.05353e+02   1.00000e+00   4.30103e+00   1.06041e+00   9.98351e-01   
2.20673e+02   1.00000e+00   4.30103e+00   1.06442e+00   9.98353e-01   
2.37137e+02   1.00000e+00   4.30103e+00   1.06863e+00   9.98355e-01   
2.54830e+02   1.00000e+00   4.30103e+00   1.07302e+00   9.98358e-01   
2.73842e+02   1.00000e+00   4.30103e+00   1.07761e+00   9.98360e-01   
2.94273e+02   1.00000e+00   4.30103e+00   1.08238e+00   9.98363e-01   
3.16228e+02   1.00000e+00   4.30103e+00   1.08731e+00   9.98366e-01   
3.39821e+02   1.00000e+00   4.30103e+00   1.09241e+00   9.98369e-01   
3.65174e+02   1.00000e+00   4.30103e+00   1.09765e+00   9.98372e-01   
3.92419e+02   1.00000e+00   4.30103e+00   1.10302e+00   9.98376e-01   
4.21697e+02   1.00000e+00   4.30103e+00   1.10849e+00   9.98379e-01   
4.53158e+02   1.00000e+00   4.30103e+00   1.11404e+00   9.98383e-01   
4.86968e+02   1.00000e+00   4.30103e+00   1.11964e+00   9.98387e-01   
5.23299e+02   1.00000e+00   4.30103e+00   1.12526e+00   9.98391e-01   
5.62341e+02   1.00000e+00   4.30103e+00   1.13089e+00   9.98395e-01   
6.04296e+02   1.00000e+00   4.30103e+00   1.13650e+00   9.98399e-01   
6.49382e+02   1.00000e+00   4.30103e+00   1.14207e+00   9.98403e-01   
6.97831e+02   1.00000e+00   4.30103e+00   1.14760e+00   9.98407e-01   
7.49894e+02   1.00000e+00   4.30103e+00   1.15307e+00   9.98411e-01   
8.05842e+02   1.00000e+00   4.30103e+00   1.15850e+00   9.98416e-01   
8.65964e+02   1.00000e+00   4.30103e+00   1.16390e+00   9.98420e-01   
9.30572e+02   1.00000e+00   4.30103e+00   1.16930e+00   9.98424e-01   
1.00000e+03   1.00000e+00   4.30103e+00   1.17472e+00   9.98429e-01   
1.07461e+03   1.00000e+00   4.30103e+00   1.18020e+00   9.98433e-01   
1.15478e+03   1.00000e+00   4.30103e+00   1.18579e+00   9.98438e-01   
1.24094e+03   1.00000e+00   4.30103e+00   1.19152e+00   9.98443e-01   
1.33352e+03   1.00000e+00   4.30103e+00   1.19745e+00   9.98449e-01   
