!time         log(Av)       log(n)        log(Tg)       log(Td)       
!(yr)         log(mag)      log(cm-3)     log(K)        log(K)        
1.00000e+00   1.00000e+00   4.77815e+00   1.00081e+00   1.00208e+00   
1.07461e+00   1.00000e+00   4.77815e+00   1.00088e+00   1.00208e+00   
1.15478e+00   1.00000e+00   4.77815e+00   1.00095e+00   1.00208e+00   
1.24094e+00   1.00000e+00   4.77815e+00   1.00104e+00   1.00208e+00   
1.33352e+00   1.00000e+00   4.77815e+00   1.00112e+00   1.00209e+00   
1.43301e+00   1.00000e+00   4.77815e+00   1.00122e+00   1.00209e+00   
1.53993e+00   1.00000e+00   4.77815e+00   1.00133e+00   1.00209e+00   
1.65482e+00   1.00000e+00   4.77815e+00   1.00144e+00   1.00209e+00   
1.77828e+00   1.00000e+00   4.77815e+00   1.00157e+00   1.00209e+00   
1.91095e+00   1.00000e+00   4.77815e+00   1.00171e+00   1.00209e+00   
2.05353e+00   1.00000e+00   4.77815e+00   1.00186e+00   1.00209e+00   
2.20673e+00   1.00000e+00   4.77815e+00   1.00202e+00   1.00209e+00   
2.37137e+00   1.00000e+00   4.77815e+00   1.00220e+00   1.00209e+00   
2.54830e+00   1.00000e+00   4.77815e+00   1.00239e+00   1.00209e+00   
2.73842e+00   1.00000e+00   4.77815e+00   1.00260e+00   1.00209e+00   
2.94273e+00   1.00000e+00   4.77815e+00   1.00283e+00   1.00209e+00   
3.16228e+00   1.00000e+00   4.77815e+00   1.00308e+00   1.00209e+00   
3.39821e+00   1.00000e+00   4.77815e+00   1.00335e+00   1.00209e+00   
3.65174e+00   1.00000e+00   4.77815e+00   1.00365e+00   1.00209e+00   
3.92419e+00   1.00000e+00   4.77815e+00   1.00397e+00   1.00209e+00   
4.21697e+00   1.00000e+00   4.77815e+00   1.00432e+00   1.00209e+00   
4.53158e+00   1.00000e+00   4.77815e+00   1.00470e+00   1.00209e+00   
4.86968e+00   1.00000e+00   4.77815e+00   1.00511e+00   1.00209e+00   
5.23299e+00   1.00000e+00   4.77815e+00   1.00556e+00   1.00209e+00   
5.62341e+00   1.00000e+00   4.77815e+00   1.00604e+00   1.00209e+00   
6.04296e+00   1.00000e+00   4.77815e+00   1.00656e+00   1.00209e+00   
6.49382e+00   1.00000e+00   4.77815e+00   1.00713e+00   1.00209e+00   
6.97831e+00   1.00000e+00   4.77815e+00   1.00774e+00   1.00209e+00   
7.49894e+00   1.00000e+00   4.77815e+00   1.00840e+00   1.00209e+00   
8.05842e+00   1.00000e+00   4.77815e+00   1.00911e+00   1.00209e+00   
