! p1 - total abundance of grain mantle molecules, [molecules/H]
! p2 - abundance of hydrocarbon molecules in ice mantles, CnHm, n >=2,  [molecules/H]
! p3 - parameter of H2 formation on grains (reaction *H+*H), rate = a*n_H_tot*n_H, a [cm3 s-1]
! p4 - electron concentration, [cm-3]
! p5 - ion concentration (without PAHs and small grains), [cm-3]
! p6 - total electric charge of grains, [cm-3]
!1             2             3             4             5             6             7             8             9             10            
!time(yrs)     T_n           T_i           T_e           p1            p2            p3            p4            p5            p6            
1.0000000e+00  1.00186e+01   1.00407e+01   1.00407e+01   5.89151e-09   5.36079e-14   3.18610e-21   8.29788e+00   8.29788e+00   -6.62131e-07  
1.0746078e+00  1.00202e+01   1.00427e+01   1.00427e+01   6.33134e-09   6.43845e-14   3.37976e-21   8.28970e+00   8.28970e+00   -6.62136e-07  
1.1547820e+00  1.00220e+01   1.00448e+01   1.00448e+01   6.80405e-09   7.70658e-14   3.58581e-21   8.28090e+00   8.28090e+00   -6.62142e-07  
1.2409378e+00  1.00239e+01   1.00471e+01   1.00471e+01   7.31208e-09   9.19122e-14   3.80053e-21   8.27143e+00   8.27143e+00   -6.62148e-07  
1.3335214e+00  1.00259e+01   1.00495e+01   1.00495e+01   7.85809e-09   1.09202e-13   3.99725e-21   8.26125e+00   8.26125e+00   -6.62154e-07  
1.4330126e+00  1.00282e+01   1.00522e+01   1.00522e+01   8.44491e-09   1.29231e-13   4.27156e-21   8.25030e+00   8.25030e+00   -6.62161e-07  
1.5399265e+00  1.00306e+01   1.00550e+01   1.00550e+01   9.07561e-09   1.52314e-13   4.53011e-21   8.23853e+00   8.23853e+00   -6.62169e-07  
1.6548171e+00  1.00333e+01   1.00581e+01   1.00581e+01   9.75347e-09   1.78788e-13   4.80441e-21   8.22587e+00   8.22587e+00   -6.62177e-07  
1.7782794e+00  1.00362e+01   1.00615e+01   1.00615e+01   1.04820e-08   2.09026e-13   5.09882e-21   8.21227e+00   8.21227e+00   -6.62186e-07  
1.9109530e+00  1.00394e+01   1.00651e+01   1.00651e+01   1.12651e-08   2.43447e-13   5.41763e-21   8.19765e+00   8.19765e+00   -6.62196e-07  
2.0535250e+00  1.00428e+01   1.00690e+01   1.00690e+01   1.21067e-08   2.82542e-13   5.76634e-21   8.18194e+00   8.18194e+00   -6.62206e-07  
2.2067341e+00  1.00466e+01   1.00732e+01   1.00732e+01   1.30112e-08   3.26910e-13   6.15273e-21   8.16507e+00   8.16507e+00   -6.62217e-07  
2.3713737e+00  1.00507e+01   1.00778e+01   1.00778e+01   1.39834e-08   3.77281e-13   6.58708e-21   8.14696e+00   8.14696e+00   -6.62230e-07  
2.5482967e+00  1.00552e+01   1.00828e+01   1.00828e+01   1.50282e-08   4.34563e-13   7.08331e-21   8.12752e+00   8.12752e+00   -6.62243e-07  
2.7384196e+00  1.00601e+01   1.00881e+01   1.00881e+01   1.61512e-08   4.99875e-13   7.66008e-21   8.10666e+00   8.10666e+00   -6.62258e-07  
2.9427272e+00  1.00654e+01   1.00939e+01   1.00939e+01   1.73580e-08   5.74577e-13   8.34238e-21   8.08429e+00   8.08429e+00   -6.62273e-07  
3.1622777e+00  1.00712e+01   1.01002e+01   1.01002e+01   1.86549e-08   6.60291e-13   9.16346e-21   8.06031e+00   8.06031e+00   -6.62290e-07  
3.3982083e+00  1.00775e+01   1.01070e+01   1.01070e+01   2.00485e-08   7.58914e-13   1.01674e-20   8.03462e+00   8.03462e+00   -6.62309e-07  
3.6517413e+00  1.00844e+01   1.01143e+01   1.01143e+01   2.15459e-08   8.72633e-13   1.14117e-20   8.00711e+00   8.00711e+00   -6.62329e-07  
3.9241898e+00  1.00919e+01   1.01222e+01   1.01222e+01   2.31545e-08   1.00394e-12   1.29717e-20   7.97766e+00   7.97766e+00   -6.62351e-07  
4.2169650e+00  1.01000e+01   1.01308e+01   1.01308e+01   2.48822e-08   1.15564e-12   1.49444e-20   7.94617e+00   7.94617e+00   -6.62375e-07  
4.5315836e+00  1.01088e+01   1.01401e+01   1.01401e+01   2.67375e-08   1.33092e-12   1.74528e-20   7.91250e+00   7.91251e+00   -6.62400e-07  
4.8696753e+00  1.01184e+01   1.01502e+01   1.01502e+01   2.87292e-08   1.53332e-12   2.06577e-20   7.87654e+00   7.87654e+00   -6.62428e-07  
5.2329911e+00  1.01287e+01   1.01610e+01   1.01610e+01   3.08664e-08   1.76684e-12   2.47290e-20   7.83816e+00   7.83816e+00   -6.62459e-07  
5.6234133e+00  1.01400e+01   1.01728e+01   1.01728e+01   3.31587e-08   2.03595e-12   2.99096e-20   7.79721e+00   7.79722e+00   -6.62491e-07  
6.0429639e+00  1.01522e+01   1.01855e+01   1.01855e+01   3.56161e-08   2.34564e-12   3.64498e-20   7.75357e+00   7.75358e+00   -6.62527e-07  
6.4938163e+00  1.01654e+01   1.01992e+01   1.01992e+01   3.82490e-08   2.70149e-12   4.46277e-20   7.70710e+00   7.70711e+00   -6.62566e-07  
6.9783058e+00  1.01798e+01   1.02141e+01   1.02141e+01   4.10681e-08   3.10973e-12   5.47223e-20   7.65766e+00   7.65766e+00   -6.62608e-07  
7.4989421e+00  1.01953e+01   1.02302e+01   1.02302e+01   4.40848e-08   3.57734e-12   6.69822e-20   7.60510e+00   7.60510e+00   -6.62654e-07  
8.0584219e+00  1.02121e+01   1.02475e+01   1.02475e+01   4.73114e-08   4.11206e-12   8.15843e-20   7.54928e+00   7.54928e+00   -6.62704e-07  
8.6596432e+00  1.02303e+01   1.02663e+01   1.02663e+01   5.07610e-08   4.72261e-12   9.85880e-20   7.49005e+00   7.49005e+00   -6.62758e-07  
9.3057204e+00  1.02499e+01   1.02866e+01   1.02866e+01   5.44485e-08   5.41871e-12   1.17898e-19   7.42727e+00   7.42728e+00   -6.62816e-07  
1.0000000e+01  1.02712e+01   1.03084e+01   1.03084e+01   5.83907e-08   6.21131e-12   1.39253e-19   7.36081e+00   7.36081e+00   -6.62880e-07  
