! na - neutral gas cooling by atomic emission, cooling < 0., [erg cm-3 s-1]
! nh2 - neutral gas cooling by H2 emission
! nh2o - neutral gas cooling by H2O emission
! nco - neutral gas cooling by CO emission
! noh - neutral gas cooling by OH emission
! nnh3 - neutral gas cooling by p- and o-NH3 emission
! nch3oh - neutral gas cooling by CH3OH (A-,E-) emission
! ni - neutral gas heating by neutral-ion collisions
! ne - neutral gas heating by neutral-electron collisions
! nd - neutral gas heating by neutral-dust collisions
! nch - neutral gas heating by chemical reactions
! nh2-h - neutral gas cooling by H2-H dissociation (is included in previous parameter nch)
! ph - heating by photoeffect on dust grains
! cr - heating by cosmic rays
! rlh2 - radiative energy loss by H2 molecule (total and only within state v = 0)
! ih2 - ion fluid cooling via excitation of H2 via ion-H2 collisions
! in - ion gas component heating by neutral-ion collisions
! ie - ion gas component heating by ion-electron collisions
! ich - ion gas component heating by chemical reactions
! ea - electron component cooling by atomic emission
! eh2 - electron component cooling by H2 emission
! eh2o - electron component cooling by H2O emission
! en - electron component heating by neutral-electron collisions
! ei - electron component heating by ion-electron collisions
! ech - electron component heating by chemical reactions
!1           2           3           4           5           6           7           8           9           10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          
!t(yr)/z(cm) na          nh2         nh2o        nco         noh         nnh3        nch3oh      ni          ne          nd          nch         nh2-h       ph          cr          rlh2        rlh2v0      ih2         in          ie          ich         ea          eh2         eh2o        en          ei          ech         
1.00000e+00  1.522e-23   3.685e-24   -2.855e-27  -7.290e-25  0.000e+00   0.000e+00   0.000e+00   1.942e-21   8.541e-24   -5.220e-24  3.863e-20   -1.249e-117 1.034e-23   3.084e-22   1.014e-22   3.541e-25   0.000e+00   -1.942e-21  1.847e-24   1.877e-21   -1.685e-23  2.357e-24   -1.270e-27  -8.541e-24  -1.847e-24  -3.748e-23  
1.07461e+00  1.554e-23   3.872e-24   -2.865e-27  -7.569e-25  0.000e+00   0.000e+00   0.000e+00   1.981e-21   8.717e-24   -5.486e-24  3.938e-20   -1.365e-117 1.034e-23   3.084e-22   1.015e-22   3.761e-25   0.000e+00   -1.981e-21  1.147e-24   1.918e-21   -1.720e-23  2.355e-24   -1.270e-27  -8.717e-24  -1.147e-24  -3.737e-23  
1.15478e+00  1.584e-23   4.061e-24   -2.876e-27  -7.848e-25  0.000e+00   0.000e+00   0.000e+00   2.019e-21   8.883e-24   -5.777e-24  4.012e-20   -1.492e-117 1.034e-23   3.084e-22   1.017e-22   3.991e-25   0.000e+00   -2.019e-21  4.619e-25   1.956e-21   -1.754e-23  2.352e-24   -1.270e-27  -8.883e-24  -4.619e-25  -3.724e-23  
1.24094e+00  1.611e-23   4.253e-24   -2.888e-27  -8.126e-25  0.000e+00   0.000e+00   0.000e+00   2.053e-21   9.039e-24   -6.096e-24  4.082e-20   -1.630e-117 1.034e-23   3.084e-22   1.018e-22   4.231e-25   0.000e+00   -2.053e-21  -2.065e-25  1.992e-21   -1.785e-23  2.349e-24   -1.271e-27  -9.039e-24  2.065e-25   -3.709e-23  
1.33352e+00  1.636e-23   4.448e-24   -2.901e-27  -8.406e-25  0.000e+00   0.000e+00   0.000e+00   2.086e-21   9.183e-24   -6.444e-24  4.151e-20   -1.780e-117 1.034e-23   3.084e-22   1.020e-22   4.480e-25   0.000e+00   -2.086e-21  -8.577e-25  2.026e-21   -1.815e-23  2.346e-24   -1.271e-27  -9.183e-24  8.577e-25   -3.691e-23  
1.43301e+00  1.660e-23   4.643e-24   -2.916e-27  -8.685e-25  0.000e+00   0.000e+00   0.000e+00   2.116e-21   9.317e-24   -6.825e-24  4.216e-20   -1.942e-117 1.034e-23   3.084e-22   1.022e-22   4.738e-25   0.000e+00   -2.116e-21  -1.491e-24  2.056e-21   -1.843e-23  2.342e-24   -1.272e-27  -9.317e-24  1.491e-24   -3.670e-23  
1.53993e+00  1.680e-23   4.839e-24   -2.931e-27  -8.968e-25  0.000e+00   0.000e+00   0.000e+00   2.143e-21   9.439e-24   -7.240e-24  4.279e-20   -2.119e-117 1.034e-23   3.084e-22   1.024e-22   5.005e-25   0.000e+00   -2.143e-21  -2.107e-24  2.085e-21   -1.868e-23  2.338e-24   -1.272e-27  -9.439e-24  2.107e-24   -3.646e-23  
1.65482e+00  1.699e-23   5.036e-24   -2.948e-27  -9.255e-25  0.000e+00   0.000e+00   0.000e+00   2.167e-21   9.550e-24   -7.693e-24  4.338e-20   -2.310e-117 1.034e-23   3.084e-22   1.026e-22   5.281e-25   0.000e+00   -2.167e-21  -2.704e-24  2.110e-21   -1.892e-23  2.333e-24   -1.273e-27  -9.550e-24  2.704e-24   -3.620e-23  
1.77828e+00  1.715e-23   5.232e-24   -2.966e-27  -9.548e-25  0.000e+00   0.000e+00   0.000e+00   2.189e-21   9.650e-24   -8.186e-24  4.395e-20   -2.518e-117 1.034e-23   3.084e-22   1.028e-22   5.566e-25   0.000e+00   -2.189e-21  -3.284e-24  2.133e-21   -1.914e-23  2.328e-24   -1.273e-27  -9.650e-24  3.284e-24   -3.591e-23  
1.91095e+00  1.729e-23   5.427e-24   -2.986e-27  -9.841e-25  0.000e+00   0.000e+00   0.000e+00   2.208e-21   9.738e-24   -8.723e-24  4.448e-20   -2.742e-117 1.034e-23   3.084e-22   1.030e-22   5.859e-25   0.000e+00   -2.208e-21  -3.848e-24  2.154e-21   -1.934e-23  2.322e-24   -1.274e-27  -9.738e-24  3.848e-24   -3.558e-23  
