! p1 - total abundance of grain mantle molecules, [molecules/H]
! p2 - abundance of hydrocarbon molecules in ice mantles, CnHm, n >=2,  [molecules/H]
! p3 - parameter of H2 formation on grains (reaction *H+*H), rate = a*n_H_tot*n_H, a [cm3 s-1]
! p4 - electron concentration, [cm-3]
! p5 - ion concentration (without PAHs and small grains), [cm-3]
! p6 - total electric charge of grains, [cm-3]
!1             2             3             4             5             6             7             8             9             10            
!time(yrs)     T_n           T_i           T_e           p1            p2            p3            p4            p5            p6            
1.0000000e+00  1.00396e+01   1.00533e+01   1.00533e+01   1.96636e-08   1.13822e-12   7.50619e-21   2.67818e+01   2.67818e+01   -2.21385e-06  
1.0746078e+00  1.00436e+01   1.00576e+01   1.00576e+01   2.11339e-08   1.30941e-12   7.88669e-21   2.66899e+01   2.66899e+01   -2.21391e-06  
1.1547820e+00  1.00479e+01   1.00623e+01   1.00623e+01   2.27142e-08   1.49894e-12   8.30426e-21   2.65914e+01   2.65915e+01   -2.21398e-06  
1.2409378e+00  1.00527e+01   1.00673e+01   1.00673e+01   2.44130e-08   1.70787e-12   8.76974e-21   2.64861e+01   2.64861e+01   -2.21405e-06  
1.3335214e+00  1.00579e+01   1.00728e+01   1.00728e+01   2.62390e-08   1.93752e-12   9.30014e-21   2.63734e+01   2.63735e+01   -2.21412e-06  
1.4330126e+00  1.00635e+01   1.00788e+01   1.00788e+01   2.82018e-08   2.18971e-12   9.91653e-21   2.62530e+01   2.62530e+01   -2.21420e-06  
1.5399265e+00  1.00697e+01   1.00852e+01   1.00852e+01   3.03114e-08   2.46692e-12   1.06533e-20   2.61244e+01   2.61245e+01   -2.21429e-06  
1.6548171e+00  1.00765e+01   1.00923e+01   1.00923e+01   3.25788e-08   2.77246e-12   1.15474e-20   2.59872e+01   2.59872e+01   -2.21439e-06  
1.7782794e+00  1.00838e+01   1.00998e+01   1.00998e+01   3.50155e-08   3.11064e-12   1.26549e-20   2.58408e+01   2.58408e+01   -2.21449e-06  
1.9109530e+00  1.00918e+01   1.01081e+01   1.01081e+01   3.76339e-08   3.48677e-12   1.40491e-20   2.56848e+01   2.56849e+01   -2.21461e-06  
2.0535250e+00  1.01005e+01   1.01170e+01   1.01170e+01   4.04470e-08   3.90716e-12   1.58223e-20   2.55188e+01   2.55188e+01   -2.21473e-06  
2.2067341e+00  1.01099e+01   1.01266e+01   1.01266e+01   4.34687e-08   4.37908e-12   1.81034e-20   2.53421e+01   2.53421e+01   -2.21486e-06  
2.3713737e+00  1.01201e+01   1.01371e+01   1.01371e+01   4.67134e-08   4.91072e-12   2.10571e-20   2.51543e+01   2.51543e+01   -2.21501e-06  
2.5482967e+00  1.01312e+01   1.01484e+01   1.01484e+01   5.01963e-08   5.51113e-12   2.48880e-20   2.49549e+01   2.49549e+01   -2.21516e-06  
2.7384196e+00  1.01433e+01   1.01606e+01   1.01606e+01   5.39329e-08   6.19036e-12   2.98608e-20   2.47434e+01   2.47434e+01   -2.21533e-06  
2.9427272e+00  1.01563e+01   1.01738e+01   1.01738e+01   5.79393e-08   6.95955e-12   3.63093e-20   2.45192e+01   2.45192e+01   -2.21552e-06  
3.1622777e+00  1.01703e+01   1.01881e+01   1.01881e+01   6.22319e-08   7.83117e-12   4.46254e-20   2.42819e+01   2.42819e+01   -2.21572e-06  
3.3982083e+00  1.01855e+01   1.02035e+01   1.02035e+01   6.68272e-08   8.81924e-12   5.52736e-20   2.40310e+01   2.40310e+01   -2.21593e-06  
3.6517413e+00  1.02020e+01   1.02201e+01   1.02201e+01   7.17417e-08   9.93960e-12   6.87633e-20   2.37659e+01   2.37659e+01   -2.21616e-06  
3.9241898e+00  1.02197e+01   1.02380e+01   1.02380e+01   7.69921e-08   1.12103e-11   8.56563e-20   2.34863e+01   2.34864e+01   -2.21641e-06  
4.2169650e+00  1.02388e+01   1.02574e+01   1.02574e+01   8.25956e-08   1.26519e-11   1.06490e-19   2.31918e+01   2.31918e+01   -2.21668e-06  
4.5315836e+00  1.02593e+01   1.02781e+01   1.02781e+01   8.85700e-08   1.42880e-11   1.31659e-19   2.28818e+01   2.28819e+01   -2.21698e-06  
4.8696753e+00  1.02815e+01   1.03005e+01   1.03005e+01   9.49344e-08   1.61457e-11   1.61468e-19   2.25562e+01   2.25562e+01   -2.21729e-06  
5.2329911e+00  1.03053e+01   1.03246e+01   1.03246e+01   1.01710e-07   1.82563e-11   1.95973e-19   2.22145e+01   2.22145e+01   -2.21763e-06  
5.6234133e+00  1.03309e+01   1.03505e+01   1.03505e+01   1.08923e-07   2.06560e-11   2.34917e-19   2.18564e+01   2.18565e+01   -2.21800e-06  
6.0429639e+00  1.03584e+01   1.03782e+01   1.03782e+01   1.16601e-07   2.33867e-11   2.77795e-19   2.14819e+01   2.14819e+01   -2.21839e-06  
6.4938163e+00  1.03880e+01   1.04080e+01   1.04080e+01   1.24777e-07   2.64972e-11   3.23870e-19   2.10907e+01   2.10907e+01   -2.21882e-06  
6.9783058e+00  1.04196e+01   1.04400e+01   1.04400e+01   1.33492e-07   3.00442e-11   3.72282e-19   2.06827e+01   2.06827e+01   -2.21927e-06  
7.4989421e+00  1.04536e+01   1.04743e+01   1.04743e+01   1.42789e-07   3.40938e-11   4.22184e-19   2.02579e+01   2.02579e+01   -2.21977e-06  
8.0584219e+00  1.04899e+01   1.05110e+01   1.05110e+01   1.52715e-07   3.87232e-11   4.72868e-19   1.98164e+01   1.98164e+01   -2.22029e-06  
8.6596432e+00  1.05288e+01   1.05503e+01   1.05503e+01   1.63321e-07   4.40224e-11   5.23856e-19   1.93583e+01   1.93584e+01   -2.22070e-06  
9.3057204e+00  1.05705e+01   1.05923e+01   1.05923e+01   1.74660e-07   5.00967e-11   5.74940e-19   1.88838e+01   1.88839e+01   -2.22105e-06  
1.0000000e+01  1.06150e+01   1.06372e+01   1.06372e+01   1.86787e-07   5.70691e-11   6.26154e-19   1.83932e+01   1.83932e+01   -2.22142e-06  
1.0746078e+01  1.06625e+01   1.06851e+01   1.06851e+01   1.99754e-07   6.50833e-11   6.77709e-19   1.78868e+01   1.78869e+01   -2.22182e-06  
1.1547820e+01  1.07132e+01   1.07363e+01   1.07363e+01   2.13619e-07   7.43074e-11   7.29907e-19   1.73652e+01   1.73653e+01   -2.22225e-06  
1.2409378e+01  1.07673e+01   1.07909e+01   1.07909e+01   2.28437e-07   8.49375e-11   7.83081e-19   1.68290e+01   1.68290e+01   -2.22270e-06  
1.3335214e+01  1.08249e+01   1.08490e+01   1.08490e+01   2.44271e-07   9.72029e-11   8.37570e-19   1.62788e+01   1.62788e+01   -2.22319e-06  
1.4330126e+01  1.08862e+01   1.09109e+01   1.09109e+01   2.61181e-07   1.11371e-10   8.93675e-19   1.57153e+01   1.57154e+01   -2.22371e-06  
1.5399265e+01  1.09514e+01   1.09767e+01   1.09767e+01   2.79237e-07   1.27752e-10   9.51692e-19   1.51396e+01   1.51397e+01   -2.22427e-06  
1.6548171e+01  1.10207e+01   1.10465e+01   1.10465e+01   2.98507e-07   1.46709e-10   1.01190e-18   1.45525e+01   1.45526e+01   -2.22486e-06  
1.7782794e+01  1.10941e+01   1.11206e+01   1.11206e+01   3.19069e-07   1.68661e-10   1.07456e-18   1.39552e+01   1.39553e+01   -2.22550e-06  
1.9109530e+01  1.11719e+01   1.11990e+01   1.11990e+01   3.41003e-07   1.94092e-10   1.13993e-18   1.33488e+01   1.33489e+01   -2.22617e-06  
2.0535250e+01  1.12541e+01   1.12819e+01   1.12819e+01   3.64394e-07   2.23560e-10   1.20827e-18   1.27345e+01   1.27347e+01   -2.22689e-06  
2.2067341e+01  1.13408e+01   1.13693e+01   1.13693e+01   3.89333e-07   2.57702e-10   1.27984e-18   1.21139e+01   1.21140e+01   -2.22765e-06  
2.3713737e+01  1.14321e+01   1.14613e+01   1.14613e+01   4.15919e-07   2.97243e-10   1.35489e-18   1.14884e+01   1.14885e+01   -2.22845e-06  
2.5482967e+01  1.15279e+01   1.15579e+01   1.15579e+01   4.44256e-07   3.43000e-10   1.43370e-18   1.08596e+01   1.08598e+01   -2.22930e-06  
2.7384196e+01  1.16282e+01   1.16589e+01   1.16588e+01   4.74458e-07   3.95881e-10   1.51653e-18   1.02294e+01   1.02296e+01   -2.23020e-06  
2.9427272e+01  1.17328e+01   1.17641e+01   1.17641e+01   5.06648e-07   4.56883e-10   1.60365e-18   9.59974e+00   9.59997e+00   -2.23113e-06  
3.1622777e+01  1.18414e+01   1.18735e+01   1.18735e+01   5.40958e-07   5.27083e-10   1.69528e-18   8.97281e+00   8.97307e+00   -2.23211e-06  
3.3982083e+01  1.19538e+01   1.19865e+01   1.19865e+01   5.77537e-07   6.07610e-10   1.79156e-18   8.35097e+00   8.35126e+00   -2.23313e-06  
3.6517413e+01  1.20694e+01   1.21027e+01   1.21027e+01   6.16548e-07   6.99616e-10   1.89240e-18   7.73682e+00   7.73714e+00   -2.23418e-06  
3.9241898e+01  1.21877e+01   1.22215e+01   1.22214e+01   6.58181e-07   8.04211e-10   1.99714e-18   7.13320e+00   7.13356e+00   -2.23526e-06  
4.2169650e+01  1.23079e+01   1.23421e+01   1.23421e+01   7.02667e-07   9.22399e-10   2.10369e-18   6.54316e+00   6.54356e+00   -2.23636e-06  
4.5315836e+01  1.24293e+01   1.24638e+01   1.24638e+01   7.50310e-07   1.05498e-09   2.20563e-18   5.96993e+00   5.97038e+00   -2.23746e-06  
4.8696753e+01  1.25509e+01   1.25856e+01   1.25855e+01   8.01614e-07   1.20248e-09   2.28045e-18   5.41687e+00   5.41736e+00   -2.23857e-06  
5.2329911e+01  1.26716e+01   1.27064e+01   1.27064e+01   8.57813e-07   1.36559e-09   2.21403e-18   4.88735e+00   4.88787e+00   -2.23966e-06  
5.6234133e+01  1.27906e+01   1.28253e+01   1.28252e+01   9.25202e-07   1.54887e-09   7.33751e-19   4.38458e+00   4.38514e+00   -2.24073e-06  
6.0429639e+01  1.29066e+01   1.29412e+01   1.29411e+01   1.02848e-06   3.24235e-09   2.30715e-19   3.91151e+00   3.91211e+00   -2.24174e-06  
6.4938163e+01  1.30190e+01   1.30532e+01   1.30532e+01   1.14323e-06   5.47154e-09   2.54933e-19   3.47053e+00   3.47114e+00   -2.24271e-06  
