!time         log(Av)       log(n)        log(Tg)       log(Td)       
!(yr)         log(mag)      log(cm-3)     log(K)        log(K)        
1.00000e+00   1.00000e+00   5.30103e+00   1.00172e+00   9.98335e-01   
1.07461e+00   1.00000e+00   5.30103e+00   1.00189e+00   9.98336e-01   
1.15478e+00   1.00000e+00   5.30103e+00   1.00208e+00   9.98337e-01   
1.24094e+00   1.00000e+00   5.30103e+00   1.00228e+00   9.98338e-01   
1.33352e+00   1.00000e+00   5.30103e+00   1.00251e+00   9.98339e-01   
1.43301e+00   1.00000e+00   5.30103e+00   1.00275e+00   9.98340e-01   
1.53993e+00   1.00000e+00   5.30103e+00   1.00302e+00   9.98341e-01   
1.65482e+00   1.00000e+00   5.30103e+00   1.00331e+00   9.98342e-01   
1.77828e+00   1.00000e+00   5.30103e+00   1.00362e+00   9.98343e-01   
1.91095e+00   1.00000e+00   5.30103e+00   1.00397e+00   9.98345e-01   
2.05353e+00   1.00000e+00   5.30103e+00   1.00434e+00   9.98346e-01   
2.20673e+00   1.00000e+00   5.30103e+00   1.00475e+00   9.98348e-01   
2.37137e+00   1.00000e+00   5.30103e+00   1.00519e+00   9.98350e-01   
2.54830e+00   1.00000e+00   5.30103e+00   1.00566e+00   9.98352e-01   
2.73842e+00   1.00000e+00   5.30103e+00   1.00618e+00   9.98354e-01   
2.94273e+00   1.00000e+00   5.30103e+00   1.00673e+00   9.98357e-01   
3.16228e+00   1.00000e+00   5.30103e+00   1.00734e+00   9.98359e-01   
3.39821e+00   1.00000e+00   5.30103e+00   1.00798e+00   9.98362e-01   
3.65174e+00   1.00000e+00   5.30103e+00   1.00868e+00   9.98365e-01   
3.92419e+00   1.00000e+00   5.30103e+00   1.00944e+00   9.98369e-01   
4.21697e+00   1.00000e+00   5.30103e+00   1.01025e+00   9.98372e-01   
4.53158e+00   1.00000e+00   5.30103e+00   1.01112e+00   9.98376e-01   
4.86968e+00   1.00000e+00   5.30103e+00   1.01206e+00   9.98380e-01   
5.23299e+00   1.00000e+00   5.30103e+00   1.01306e+00   9.98385e-01   
5.62341e+00   1.00000e+00   5.30103e+00   1.01414e+00   9.98390e-01   
6.04296e+00   1.00000e+00   5.30103e+00   1.01529e+00   9.98395e-01   
6.49382e+00   1.00000e+00   5.30103e+00   1.01653e+00   9.98400e-01   
6.97831e+00   1.00000e+00   5.30103e+00   1.01785e+00   9.98406e-01   
7.49894e+00   1.00000e+00   5.30103e+00   1.01926e+00   9.98413e-01   
8.05842e+00   1.00000e+00   5.30103e+00   1.02077e+00   9.98420e-01   
8.65964e+00   1.00000e+00   5.30103e+00   1.02238e+00   9.98427e-01   
9.30572e+00   1.00000e+00   5.30103e+00   1.02409e+00   9.98435e-01   
1.00000e+01   1.00000e+00   5.30103e+00   1.02592e+00   9.98444e-01   
1.07461e+01   1.00000e+00   5.30103e+00   1.02786e+00   9.98453e-01   
1.15478e+01   1.00000e+00   5.30103e+00   1.02992e+00   9.98463e-01   
1.24094e+01   1.00000e+00   5.30103e+00   1.03211e+00   9.98473e-01   
