! na - neutral gas cooling by atomic emission, cooling < 0., [erg cm-3 s-1]
! nh2 - neutral gas cooling by H2 emission
! nh2o - neutral gas cooling by H2O emission
! nco - neutral gas cooling by CO emission
! noh - neutral gas cooling by OH emission
! nnh3 - neutral gas cooling by p- and o-NH3 emission
! nch3oh - neutral gas cooling by CH3OH (A-,E-) emission
! ni - neutral gas heating by neutral-ion collisions
! ne - neutral gas heating by neutral-electron collisions
! nd - neutral gas heating by neutral-dust collisions
! nch - neutral gas heating by chemical reactions
! nh2-h - neutral gas cooling by H2-H dissociation (is included in previous parameter nch)
! ph - heating by photoeffect on dust grains
! cr - heating by cosmic rays
! rlh2 - radiative energy loss by H2 molecule (total and only within state v = 0)
! ih2 - ion fluid cooling via excitation of H2 via ion-H2 collisions
! in - ion gas component heating by neutral-ion collisions
! ie - ion gas component heating by ion-electron collisions
! ich - ion gas component heating by chemical reactions
! ea - electron component cooling by atomic emission
! eh2 - electron component cooling by H2 emission
! eh2o - electron component cooling by H2O emission
! en - electron component heating by neutral-electron collisions
! ei - electron component heating by ion-electron collisions
! ech - electron component heating by chemical reactions
!1           2           3           4           5           6           7           8           9           10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          
!t(yr)/z(cm) na          nh2         nh2o        nco         noh         nnh3        nch3oh      ni          ne          nd          nch         nh2-h       ph          cr          rlh2        rlh2v0      ih2         in          ie          ich         ea          eh2         eh2o        en          ei          ech         
1.53993e+00  -4.380e-25  7.344e-27   -2.974e-29  -8.729e-27  0.000e+00   0.000e+00   0.000e+00   9.778e-24   4.293e-26   -7.154e-26  2.429e-22   -1.518e-121 1.034e-25   3.084e-24   9.537e-25   5.280e-27   2.707e-27   -9.778e-24  1.606e-25   8.711e-24   -1.362e-25  2.841e-27   -1.663e-29  -4.293e-26  -1.606e-25  -5.670e-25  
1.59634e+00  -4.435e-25  7.604e-27   -2.910e-29  -9.219e-27  0.000e+00   0.000e+00   0.000e+00   9.971e-24   4.378e-26   -7.166e-26  2.458e-22   -1.583e-121 1.034e-25   3.084e-24   9.540e-25   5.442e-27   2.806e-27   -9.971e-24  1.577e-25   8.906e-24   -1.380e-25  2.844e-27   -1.626e-29  -4.378e-26  -1.577e-25  -5.674e-25  
1.65482e+00  -4.493e-25  7.873e-27   -2.849e-29  -9.740e-27  0.000e+00   0.000e+00   0.000e+00   1.017e-23   4.464e-26   -7.180e-26  2.488e-22   -1.650e-121 1.034e-25   3.084e-24   9.543e-25   5.609e-27   2.908e-27   -1.017e-23  1.548e-25   9.106e-24   -1.399e-25  2.848e-27   -1.592e-29  -4.464e-26  -1.548e-25  -5.677e-25  
1.71544e+00  -4.548e-25  8.150e-27   -2.793e-29  -1.030e-26  0.000e+00   0.000e+00   0.000e+00   1.037e-23   4.553e-26   -7.193e-26  2.519e-22   -1.720e-121 1.034e-25   3.084e-24   9.545e-25   5.779e-27   3.014e-27   -1.037e-23  1.518e-25   9.310e-24   -1.419e-25  2.852e-27   -1.560e-29  -4.553e-26  -1.518e-25  -5.681e-25  
1.77828e+00  -4.601e-25  8.436e-27   -2.741e-29  -1.089e-26  0.000e+00   0.000e+00   0.000e+00   1.057e-23   4.643e-26   -7.208e-26  2.550e-22   -1.794e-121 1.034e-25   3.084e-24   9.548e-25   5.953e-27   3.124e-27   -1.057e-23  1.487e-25   9.518e-24   -1.439e-25  2.856e-27   -1.531e-29  -4.643e-26  -1.487e-25  -5.685e-25  
1.84342e+00  -4.655e-25  8.731e-27   -2.692e-29  -1.152e-26  0.000e+00   0.000e+00   0.000e+00   1.078e-23   4.735e-26   -7.223e-26  2.581e-22   -1.871e-121 1.034e-25   3.084e-24   9.551e-25   6.132e-27   3.238e-27   -1.078e-23  1.456e-25   9.730e-24   -1.459e-25  2.860e-27   -1.503e-29  -4.735e-26  -1.456e-25  -5.689e-25  
1.91095e+00  -4.711e-25  9.035e-27   -2.648e-29  -1.219e-26  0.000e+00   0.000e+00   0.000e+00   1.100e-23   4.829e-26   -7.239e-26  2.614e-22   -1.951e-121 1.034e-25   3.084e-24   9.554e-25   6.314e-27   3.356e-27   -1.100e-23  1.424e-25   9.947e-24   -1.480e-25  2.864e-27   -1.478e-29  -4.829e-26  -1.424e-25  -5.692e-25  
1.98096e+00  -4.764e-25  9.349e-27   -2.606e-29  -1.291e-26  0.000e+00   0.000e+00   0.000e+00   1.122e-23   4.925e-26   -7.256e-26  2.647e-22   -2.036e-121 1.034e-25   3.084e-24   9.557e-25   6.501e-27   3.479e-27   -1.122e-23  1.391e-25   1.017e-23   -1.501e-25  2.868e-27   -1.454e-29  -4.925e-26  -1.391e-25  -5.696e-25  
2.05353e+00  -4.815e-25  9.672e-27   -2.569e-29  -1.367e-26  0.000e+00   0.000e+00   0.000e+00   1.144e-23   5.023e-26   -7.273e-26  2.680e-22   -2.124e-121 1.034e-25   3.084e-24   9.560e-25   6.692e-27   3.605e-27   -1.144e-23  1.358e-25   1.039e-23   -1.522e-25  2.873e-27   -1.433e-29  -5.023e-26  -1.358e-25  -5.700e-25  
2.12875e+00  -4.867e-25  1.001e-26   -2.535e-29  -1.448e-26  0.000e+00   0.000e+00   0.000e+00   1.166e-23   5.122e-26   -7.292e-26  2.714e-22   -2.216e-121 1.034e-25   3.084e-24   9.563e-25   6.887e-27   3.737e-27   -1.166e-23  1.324e-25   1.062e-23   -1.544e-25  2.877e-27   -1.413e-29  -5.122e-26  -1.324e-25  -5.703e-25  
