!time         log(Av)       log(n)        log(Tg)       log(Td)       
!(yr)         log(mag)      log(cm-3)     log(K)        log(K)        
1.00000e+00   1.00000e+00   4.30103e+00   1.00011e+00   9.95515e-01   
1.03663e+00   1.00000e+00   4.30103e+00   1.00011e+00   9.95515e-01   
1.07461e+00   1.00000e+00   4.30103e+00   1.00012e+00   9.95515e-01   
1.11397e+00   1.00000e+00   4.30103e+00   1.00012e+00   9.95515e-01   
1.15478e+00   1.00000e+00   4.30103e+00   1.00013e+00   9.95515e-01   
1.19709e+00   1.00000e+00   4.30103e+00   1.00013e+00   9.95515e-01   
1.24094e+00   1.00000e+00   4.30103e+00   1.00014e+00   9.95515e-01   
1.28640e+00   1.00000e+00   4.30103e+00   1.00014e+00   9.95515e-01   
1.33352e+00   1.00000e+00   4.30103e+00   1.00015e+00   9.95515e-01   
1.38237e+00   1.00000e+00   4.30103e+00   1.00016e+00   9.95515e-01   
1.43301e+00   1.00000e+00   4.30103e+00   1.00016e+00   9.95515e-01   
1.48551e+00   1.00000e+00   4.30103e+00   1.00017e+00   9.95515e-01   
1.53993e+00   1.00000e+00   4.30103e+00   1.00018e+00   9.95515e-01   
1.59634e+00   1.00000e+00   4.30103e+00   1.00019e+00   9.95515e-01   
1.65482e+00   1.00000e+00   4.30103e+00   1.00019e+00   9.95515e-01   
1.71544e+00   1.00000e+00   4.30103e+00   1.00020e+00   9.95515e-01   
1.77828e+00   1.00000e+00   4.30103e+00   1.00021e+00   9.95515e-01   
1.84342e+00   1.00000e+00   4.30103e+00   1.00022e+00   9.95515e-01   
1.91095e+00   1.00000e+00   4.30103e+00   1.00023e+00   9.95515e-01   
1.98096e+00   1.00000e+00   4.30103e+00   1.00024e+00   9.95515e-01   
2.05353e+00   1.00000e+00   4.30103e+00   1.00026e+00   9.95515e-01   
2.12875e+00   1.00000e+00   4.30103e+00   1.00027e+00   9.95515e-01   
2.20673e+00   1.00000e+00   4.30103e+00   1.00028e+00   9.95515e-01   
2.28757e+00   1.00000e+00   4.30103e+00   1.00029e+00   9.95515e-01   
2.37137e+00   1.00000e+00   4.30103e+00   1.00031e+00   9.95515e-01   
2.45824e+00   1.00000e+00   4.30103e+00   1.00032e+00   9.95515e-01   
2.54830e+00   1.00000e+00   4.30103e+00   1.00034e+00   9.95515e-01   
2.64165e+00   1.00000e+00   4.30103e+00   1.00035e+00   9.95515e-01   
2.73842e+00   1.00000e+00   4.30103e+00   1.00037e+00   9.95515e-01   
2.83874e+00   1.00000e+00   4.30103e+00   1.00039e+00   9.95515e-01   
2.94273e+00   1.00000e+00   4.30103e+00   1.00041e+00   9.95515e-01   
3.05053e+00   1.00000e+00   4.30103e+00   1.00042e+00   9.95515e-01   
3.16228e+00   1.00000e+00   4.30103e+00   1.00045e+00   9.95515e-01   
3.27812e+00   1.00000e+00   4.30103e+00   1.00047e+00   9.95515e-01   
3.39821e+00   1.00000e+00   4.30103e+00   1.00049e+00   9.95515e-01   
3.52269e+00   1.00000e+00   4.30103e+00   1.00051e+00   9.95515e-01   
3.65174e+00   1.00000e+00   4.30103e+00   1.00054e+00   9.95515e-01   
3.78552e+00   1.00000e+00   4.30103e+00   1.00056e+00   9.95515e-01   
3.92419e+00   1.00000e+00   4.30103e+00   1.00059e+00   9.95515e-01   
4.06794e+00   1.00000e+00   4.30103e+00   1.00062e+00   9.95515e-01   
4.21697e+00   1.00000e+00   4.30103e+00   1.00065e+00   9.95515e-01   
4.37144e+00   1.00000e+00   4.30103e+00   1.00068e+00   9.95515e-01   
4.53158e+00   1.00000e+00   4.30103e+00   1.00071e+00   9.95515e-01   
4.69759e+00   1.00000e+00   4.30103e+00   1.00075e+00   9.95515e-01   
4.86968e+00   1.00000e+00   4.30103e+00   1.00079e+00   9.95515e-01   
5.04807e+00   1.00000e+00   4.30103e+00   1.00082e+00   9.95515e-01   
5.23299e+00   1.00000e+00   4.30103e+00   1.00086e+00   9.95515e-01   
5.42469e+00   1.00000e+00   4.30103e+00   1.00091e+00   9.95515e-01   
