! p1 - total abundance of grain mantle molecules, [molecules/H]
! p2 - abundance of hydrocarbon molecules in ice mantles, CnHm, n >=2,  [molecules/H]
! p3 - parameter of H2 formation on grains (reaction *H+*H), rate = a*n_H_tot*n_H, a [cm3 s-1]
! p4 - electron concentration, [cm-3]
! p5 - ion concentration (without PAHs and small grains), [cm-3]
! p6 - total electric charge of grains, [cm-3]
!1             2             3             4             5             6             7             8             9             10            11            
!time(yrs)     T_n           T_i           T_e           oph2          p1            p2            p3            p4            p5            p6            
1.0000000e+00  1.00024e+01   1.00068e+01   1.00068e+01   1.00000e-01   1.68253e-09   3.11978e-15   1.51132e-21   3.38493e+00   3.38493e+00   -2.21324e-07  
1.0366329e+00  1.00026e+01   1.00070e+01   1.00070e+01   1.00000e-01   1.74416e-09   3.46332e-15   1.56225e-21   3.38430e+00   3.38430e+00   -2.21325e-07  
1.0746078e+00  1.00027e+01   1.00072e+01   1.00072e+01   1.00000e-01   1.80805e-09   3.84366e-15   1.61444e-21   3.38365e+00   3.38365e+00   -2.21325e-07  
1.1139739e+00  1.00028e+01   1.00074e+01   1.00074e+01   1.00000e-01   1.87428e-09   4.26459e-15   1.66828e-21   3.38297e+00   3.38297e+00   -2.21325e-07  
1.1547820e+00  1.00029e+01   1.00076e+01   1.00076e+01   1.00000e-01   1.94294e-09   4.73025e-15   1.72366e-21   3.38227e+00   3.38227e+00   -2.21326e-07  
1.1970850e+00  1.00030e+01   1.00078e+01   1.00078e+01   1.00000e-01   2.01412e-09   5.24518e-15   1.78046e-21   3.38154e+00   3.38154e+00   -2.21326e-07  
1.2409378e+00  1.00032e+01   1.00080e+01   1.00080e+01   1.00000e-01   2.08791e-09   5.81434e-15   1.83993e-21   3.38079e+00   3.38079e+00   -2.21326e-07  
1.2863969e+00  1.00033e+01   1.00083e+01   1.00083e+01   1.00000e-01   2.16440e-09   6.44313e-15   1.89960e-21   3.38001e+00   3.38001e+00   -2.21326e-07  
1.3335214e+00  1.00034e+01   1.00085e+01   1.00085e+01   1.00000e-01   2.24370e-09   7.13749e-15   1.96089e-21   3.37920e+00   3.37920e+00   -2.21327e-07  
1.3823722e+00  1.00036e+01   1.00088e+01   1.00088e+01   1.00000e-01   2.32590e-09   7.90383e-15   2.02592e-21   3.37835e+00   3.37835e+00   -2.21327e-07  
1.4330126e+00  1.00038e+01   1.00090e+01   1.00090e+01   1.00000e-01   2.41112e-09   8.74916e-15   2.09146e-21   3.37748e+00   3.37748e+00   -2.21327e-07  
1.4855080e+00  1.00039e+01   1.00093e+01   1.00093e+01   1.00000e-01   2.49946e-09   9.68108e-15   2.15902e-21   3.37658e+00   3.37658e+00   -2.21328e-07  
1.5399265e+00  1.00041e+01   1.00096e+01   1.00096e+01   1.00000e-01   2.59105e-09   1.07079e-14   2.22855e-21   3.37564e+00   3.37564e+00   -2.21328e-07  
1.5963385e+00  1.00043e+01   1.00099e+01   1.00099e+01   1.00000e-01   2.68599e-09   1.18384e-14   2.30068e-21   3.37466e+00   3.37466e+00   -2.21329e-07  
1.6548171e+00  1.00045e+01   1.00102e+01   1.00102e+01   1.00000e-01   2.78441e-09   1.30824e-14   2.37392e-21   3.37366e+00   3.37366e+00   -2.21329e-07  
1.7154379e+00  1.00047e+01   1.00105e+01   1.00105e+01   1.00000e-01   2.88644e-09   1.44503e-14   2.44828e-21   3.37261e+00   3.37261e+00   -2.21330e-07  
1.7782794e+00  1.00049e+01   1.00109e+01   1.00109e+01   1.00000e-01   2.99222e-09   1.59532e-14   2.52475e-21   3.37152e+00   3.37152e+00   -2.21330e-07  
1.8434230e+00  1.00051e+01   1.00112e+01   1.00112e+01   1.00000e-01   3.10187e-09   1.76032e-14   2.60426e-21   3.37040e+00   3.37040e+00   -2.21330e-07  
1.9109530e+00  1.00054e+01   1.00116e+01   1.00116e+01   1.00000e-01   3.21555e-09   1.94134e-14   2.68453e-21   3.36923e+00   3.36923e+00   -2.21331e-07  
1.9809568e+00  1.00056e+01   1.00119e+01   1.00119e+01   1.00000e-01   3.33340e-09   2.13973e-14   2.76957e-21   3.36802e+00   3.36802e+00   -2.21331e-07  
2.0535250e+00  1.00059e+01   1.00123e+01   1.00123e+01   1.00000e-01   3.45557e-09   2.35699e-14   2.85391e-21   3.36676e+00   3.36676e+00   -2.21332e-07  
2.1287517e+00  1.00062e+01   1.00127e+01   1.00127e+01   1.00000e-01   3.58222e-09   2.59468e-14   2.94189e-21   3.36546e+00   3.36546e+00   -2.21333e-07  
2.2067341e+00  1.00064e+01   1.00131e+01   1.00131e+01   1.00000e-01   3.71352e-09   2.85446e-14   3.03173e-21   3.36411e+00   3.36411e+00   -2.21333e-07  
2.2875732e+00  1.00068e+01   1.00136e+01   1.00136e+01   1.00000e-01   3.84963e-09   3.13809e-14   3.12356e-21   3.36271e+00   3.36271e+00   -2.21334e-07  
2.3713737e+00  1.00071e+01   1.00140e+01   1.00140e+01   1.00000e-01   3.99074e-09   3.44744e-14   3.21688e-21   3.36126e+00   3.36126e+00   -2.21334e-07  
2.4582441e+00  1.00074e+01   1.00145e+01   1.00145e+01   1.00000e-01   4.13703e-09   3.78444e-14   3.31279e-21   3.35975e+00   3.35975e+00   -2.21335e-07  
2.5482967e+00  1.00078e+01   1.00150e+01   1.00150e+01   1.00000e-01   4.28868e-09   4.15115e-14   3.41292e-21   3.35819e+00   3.35819e+00   -2.21336e-07  
2.6416483e+00  1.00081e+01   1.00155e+01   1.00155e+01   1.00000e-01   4.44590e-09   4.54970e-14   3.51394e-21   3.35657e+00   3.35657e+00   -2.21336e-07  
2.7384196e+00  1.00085e+01   1.00160e+01   1.00160e+01   1.00000e-01   4.60889e-09   4.98232e-14   3.61605e-21   3.35490e+00   3.35490e+00   -2.21337e-07  
2.8387360e+00  1.00089e+01   1.00166e+01   1.00166e+01   1.00000e-01   4.77787e-09   5.45129e-14   3.72287e-21   3.35316e+00   3.35316e+00   -2.21338e-07  
2.9427272e+00  1.00093e+01   1.00172e+01   1.00172e+01   1.00000e-01   4.95304e-09   5.95901e-14   3.83018e-21   3.35135e+00   3.35135e+00   -2.21339e-07  
3.0505279e+00  1.00098e+01   1.00178e+01   1.00178e+01   1.00000e-01   5.13465e-09   6.50793e-14   3.94349e-21   3.34948e+00   3.34948e+00   -2.21339e-07  
3.1622777e+00  1.00103e+01   1.00184e+01   1.00184e+01   1.00000e-01   5.32292e-09   7.10056e-14   4.05717e-21   3.34754e+00   3.34754e+00   -2.21340e-07  
3.2781212e+00  1.00108e+01   1.00190e+01   1.00191e+01   1.00000e-01   5.51810e-09   7.73949e-14   4.17365e-21   3.34553e+00   3.34553e+00   -2.21341e-07  
3.3982083e+00  1.00113e+01   1.00197e+01   1.00197e+01   1.00000e-01   5.72045e-09   8.42734e-14   4.29299e-21   3.34344e+00   3.34344e+00   -2.21342e-07  
3.5226947e+00  1.00118e+01   1.00204e+01   1.00204e+01   1.00000e-01   5.93024e-09   9.16682e-14   4.41516e-21   3.34128e+00   3.34128e+00   -2.21343e-07  
3.6517413e+00  1.00124e+01   1.00212e+01   1.00212e+01   1.00000e-01   6.14772e-09   9.96067e-14   4.53849e-21   3.33904e+00   3.33904e+00   -2.21344e-07  
3.7855152e+00  1.00130e+01   1.00219e+01   1.00219e+01   1.00000e-01   6.37319e-09   1.08117e-13   4.67093e-21   3.33672e+00   3.33672e+00   -2.21345e-07  
3.9241898e+00  1.00136e+01   1.00227e+01   1.00227e+01   1.00000e-01   6.60694e-09   1.17228e-13   4.79971e-21   3.33431e+00   3.33431e+00   -2.21346e-07  
4.0679443e+00  1.00143e+01   1.00235e+01   1.00235e+01   1.00000e-01   6.84928e-09   1.26969e-13   4.93529e-21   3.33181e+00   3.33181e+00   -2.21347e-07  
4.2169650e+00  1.00150e+01   1.00244e+01   1.00244e+01   1.00000e-01   7.10052e-09   1.37370e-13   5.07638e-21   3.32922e+00   3.32922e+00   -2.21348e-07  
4.3714448e+00  1.00157e+01   1.00253e+01   1.00253e+01   1.00000e-01   7.36098e-09   1.48465e-13   5.21857e-21   3.32654e+00   3.32654e+00   -2.21350e-07  
4.5315836e+00  1.00165e+01   1.00262e+01   1.00262e+01   1.00000e-01   7.63102e-09   1.60286e-13   5.36701e-21   3.32376e+00   3.32376e+00   -2.21351e-07  
4.6975888e+00  1.00173e+01   1.00272e+01   1.00272e+01   1.00000e-01   7.91097e-09   1.72869e-13   5.51982e-21   3.32088e+00   3.32088e+00   -2.21352e-07  
4.8696753e+00  1.00181e+01   1.00282e+01   1.00282e+01   1.00000e-01   8.20122e-09   1.86254e-13   5.67800e-21   3.31790e+00   3.31790e+00   -2.21354e-07  
5.0480657e+00  1.00190e+01   1.00292e+01   1.00292e+01   1.00000e-01   8.50212e-09   2.00482e-13   5.84212e-21   3.31480e+00   3.31481e+00   -2.21355e-07  
5.2329911e+00  1.00199e+01   1.00303e+01   1.00303e+01   1.00000e-01   8.81408e-09   2.15599e-13   6.01256e-21   3.31160e+00   3.31160e+00   -2.21357e-07  
5.4246909e+00  1.00209e+01   1.00315e+01   1.00315e+01   1.00000e-01   9.13751e-09   2.31656e-13   6.19031e-21   3.30828e+00   3.30828e+00   -2.21358e-07  
5.6234133e+00  1.00219e+01   1.00326e+01   1.00326e+01   1.00000e-01   9.47282e-09   2.48711e-13   6.37766e-21   3.30484e+00   3.30484e+00   -2.21360e-07  
5.8294153e+00  1.00230e+01   1.00339e+01   1.00339e+01   1.00000e-01   9.82045e-09   2.66827e-13   6.57270e-21   3.30128e+00   3.30128e+00   -2.21361e-07  
6.0429639e+00  1.00241e+01   1.00351e+01   1.00351e+01   1.00000e-01   1.01809e-08   2.86075e-13   6.77984e-21   3.29759e+00   3.29759e+00   -2.21363e-07  
6.2643354e+00  1.00253e+01   1.00365e+01   1.00365e+01   1.00000e-01   1.05545e-08   3.06535e-13   6.99797e-21   3.29376e+00   3.29376e+00   -2.21365e-07  
6.4938163e+00  1.00265e+01   1.00379e+01   1.00379e+01   1.00000e-01   1.09419e-08   3.28297e-13   7.22917e-21   3.28980e+00   3.28980e+00   -2.21367e-07  
6.7317038e+00  1.00278e+01   1.00393e+01   1.00393e+01   1.00000e-01   1.13435e-08   3.51459e-13   7.47694e-21   3.28570e+00   3.28570e+00   -2.21369e-07  
6.9783058e+00  1.00292e+01   1.00408e+01   1.00408e+01   1.00000e-01   1.17598e-08   3.76131e-13   7.74276e-21   3.28146e+00   3.28146e+00   -2.21371e-07  
7.2339416e+00  1.00306e+01   1.00424e+01   1.00424e+01   1.00000e-01   1.21915e-08   4.02435e-13   8.02933e-21   3.27706e+00   3.27706e+00   -2.21373e-07  
7.4989421e+00  1.00320e+01   1.00440e+01   1.00440e+01   1.00000e-01   1.26390e-08   4.30502e-13   8.33980e-21   3.27251e+00   3.27251e+00   -2.21375e-07  
7.7736503e+00  1.00336e+01   1.00457e+01   1.00457e+01   1.00000e-01   1.31029e-08   4.60478e-13   8.68370e-21   3.26780e+00   3.26780e+00   -2.21378e-07  
8.0584219e+00  1.00352e+01   1.00475e+01   1.00475e+01   1.00000e-01   1.35839e-08   4.92519e-13   9.04690e-21   3.26293e+00   3.26293e+00   -2.21380e-07  
8.3536255e+00  1.00369e+01   1.00493e+01   1.00493e+01   1.00000e-01   1.40825e-08   5.26793e-13   9.45456e-21   3.25789e+00   3.25789e+00   -2.21383e-07  
8.6596432e+00  1.00387e+01   1.00512e+01   1.00512e+01   1.00000e-01   1.45994e-08   5.63484e-13   9.90376e-21   3.25267e+00   3.25267e+00   -2.21385e-07  
8.9768713e+00  1.00405e+01   1.00532e+01   1.00532e+01   1.00000e-01   1.51352e-08   6.02783e-13   1.04021e-20   3.24727e+00   3.24727e+00   -2.21388e-07  
9.3057204e+00  1.00425e+01   1.00553e+01   1.00553e+01   1.00000e-01   1.56906e-08   6.44899e-13   1.09571e-20   3.24168e+00   3.24168e+00   -2.21391e-07  
9.6466162e+00  1.00445e+01   1.00574e+01   1.00574e+01   1.00000e-01   1.62664e-08   6.90052e-13   1.15778e-20   3.23590e+00   3.23590e+00   -2.21394e-07  
1.0000000e+01  1.00466e+01   1.00597e+01   1.00597e+01   1.00000e-01   1.68632e-08   7.38475e-13   1.22749e-20   3.22993e+00   3.22993e+00   -2.21397e-07  
1.0366329e+01  1.00488e+01   1.00620e+01   1.00620e+01   1.00000e-01   1.74817e-08   7.90417e-13   1.30536e-20   3.22375e+00   3.22375e+00   -2.21400e-07  
1.0746078e+01  1.00511e+01   1.00644e+01   1.00644e+01   1.00000e-01   1.81229e-08   8.46139e-13   1.39448e-20   3.21736e+00   3.21736e+00   -2.21403e-07  
1.1139739e+01  1.00535e+01   1.00669e+01   1.00669e+01   1.00000e-01   1.87873e-08   9.05920e-13   1.49400e-20   3.21075e+00   3.21075e+00   -2.21407e-07  
